network_id,target_station,donor_station,gap_length,realized_mae,n_placements
usgs2_huc6_031300,02357150,02344673,90,1.5242010792028584,20
usgs2_huc6_031300,02357150,02359170,90,1.5133505709065767,20
usgs2_huc6_031300,02359170,023432415,90,1.519828316568997,20
usgs2_huc6_031300,02359170,02343805,90,1.4567074387907983,20
usgs2_huc6_031300,02359170,02344630,90,1.4809243755274384,20
usgs2_huc6_031300,02359170,02344673,90,1.4741519777200722,20
usgs2_huc6_031300,02359170,02357150,90,1.376658686050302,20
usgs2_huc6_171003,14320934,14335072,90,1.6032815210539355,20
usgs2_huc6_171003,14320934,14359000,90,1.5355608840915613,20
usgs2_huc6_171003,14320934,14361500,90,1.4923541507952922,20
usgs2_huc6_171003,14320934,14372300,90,1.4764034769123573,20
usgs2_huc6_171003,14335072,14320934,90,1.0053631911639953,20
usgs2_huc6_171003,14335072,14359000,90,1.0018442490660449,20
usgs2_huc6_171003,14335072,14361500,90,1.0048575405346098,20
usgs2_huc6_171003,14335072,14372300,90,1.006830205900681,20
usgs2_huc6_171003,14359000,14320934,90,1.0370481191410104,20
usgs2_huc6_171003,14359000,14335072,90,1.1322448189690353,20
usgs2_huc6_171003,14359000,14361500,90,0.45740320044167104,20
usgs2_huc6_171003,14359000,14372300,90,0.9026481685936296,20
usgs2_huc6_171003,14361500,14320934,90,1.3856677165812363,20
usgs2_huc6_171003,14361500,14335072,90,1.495871138776053,20
usgs2_huc6_171003,14361500,14359000,90,1.2455790585710287,20
usgs2_huc6_171003,14361500,14372300,90,1.2413511526656125,20
usgs2_huc6_171003,14372300,14320934,90,1.7525223377524466,20
usgs2_huc6_171003,14372300,14335072,90,1.8433123263112603,20
usgs2_huc6_171003,14372300,14359000,90,1.791854247105551,20
usgs2_huc6_171003,14372300,14361500,90,1.6862122729274571,20
usgs2_huc6_180102,11501000,11502500,90,1.1128942028055526,20
usgs2_huc6_180102,11501000,11509500,90,1.7064056344782095,20
usgs2_huc6_180102,11501000,11530000,90,2.0074142722010064,20
usgs2_huc6_180102,11501000,11530500,90,1.985045679603378,20
usgs2_huc6_180102,11501000,421401121480900,90,1.6783694614282894,20
usgs2_huc6_180102,11502500,11501000,90,1.4822559411741358,20
usgs2_huc6_180102,11502500,11509500,90,1.630533825755256,20
usgs2_huc6_180102,11502500,11530000,90,1.6528576026690718,20
usgs2_huc6_180102,11502500,11530500,90,1.651841397511039,20
usgs2_huc6_180102,11502500,421401121480900,90,1.5889335845304868,20
usgs2_huc6_180102,11509500,11501000,90,1.6211974864867051,20
usgs2_huc6_180102,11509500,11502500,90,1.5831603910123513,20
usgs2_huc6_180102,11509500,11530000,90,1.7302061724041518,20
usgs2_huc6_180102,11509500,11530500,90,1.7159536552571026,20
usgs2_huc6_180102,11509500,421401121480900,90,1.485953556419528,20
usgs2_huc6_180102,11530000,11501000,90,1.4857815520470017,20
usgs2_huc6_180102,11530000,11502500,90,1.5183582204653105,20
usgs2_huc6_180102,11530000,11509500,90,1.533253021188855,20
usgs2_huc6_180102,11530000,11530500,90,1.4123179160399029,20
usgs2_huc6_180102,11530000,421401121480900,90,1.5241850849205107,20
usgs2_huc6_180102,11530500,11501000,90,1.3259679227937209,20
usgs2_huc6_180102,11530500,11502500,90,1.3805494470821345,20
usgs2_huc6_180102,11530500,11509500,90,1.3694156457377331,20
usgs2_huc6_180102,11530500,11530000,90,1.061531612294759,20
usgs2_huc6_180102,11530500,421401121480900,90,1.3557596123885236,20
usgs2_huc6_180102,421401121480900,11501000,90,2.001145141084329,20
usgs2_huc6_180102,421401121480900,11502500,90,1.9744051007977306,20
usgs2_huc6_180102,421401121480900,11509500,90,1.8105341728686546,20
usgs2_huc6_180102,421401121480900,11530000,90,2.1894456882051405,20
usgs2_huc6_180102,421401121480900,11530500,90,2.182541671354236,20
