network_id,station_id,gap_length,placement,gap_start,season,panel,model_family,mae_deg_c,linear_boundary_mae_deg_c
arso_drava,2160,90,1,2020-06-09,JJA,first_confirmation,donor_blup_ridge,2.0851992982696097,2.8811965811965807
arso_drava,2160,90,2,2020-11-16,SON,first_confirmation,pchip_or_linear,2.16525698579118,1.6273015873015877
arso_drava,2160,90,2,2020-11-16,SON,first_confirmation,seasonal_boundary_ridge,1.5132065400065273,1.6273015873015877
arso_drava,2160,90,2,2020-11-16,SON,first_confirmation,donor_blup_ridge,1.262078751538144,1.6273015873015877
arso_drava,2160,90,3,2021-04-25,MAM,first_confirmation,pchip_or_linear,1.7328114982670901,1.3415873015873017
arso_drava,2160,90,3,2021-04-25,MAM,first_confirmation,seasonal_boundary_ridge,1.3353378055741139,1.3415873015873017
arso_drava,2160,90,3,2021-04-25,MAM,first_confirmation,donor_blup_ridge,1.0515837397731056,1.3415873015873017
arso_drava,2160,90,4,2021-10-03,SON,first_confirmation,pchip_or_linear,3.005808893891434,2.195934065934066
arso_drava,2160,90,4,2021-10-03,SON,first_confirmation,seasonal_boundary_ridge,2.0355599310678794,2.195934065934066
arso_drava,2160,90,4,2021-10-03,SON,first_confirmation,donor_blup_ridge,1.5880820060859782,2.195934065934066
arso_drava,2160,180,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,3.067165299259639,1.710564763658686
arso_drava,2160,180,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,1.5459655825807928,1.710564763658686
arso_drava,2160,180,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,1.1909901189562915,1.710564763658686
arso_drava,2160,180,1,2020-05-17,MAM,first_confirmation,pchip_or_linear,6.188596529654845,4.785524861878454
arso_drava,2160,180,1,2020-05-17,MAM,first_confirmation,seasonal_boundary_ridge,4.269395214244536,4.785524861878454
arso_drava,2160,180,1,2020-05-17,MAM,first_confirmation,donor_blup_ridge,3.4384649295032923,4.785524861878454
arso_drava,2160,180,2,2020-10-02,SON,first_confirmation,pchip_or_linear,5.637222222222222,5.637222222222222
arso_drava,2160,180,2,2020-10-02,SON,first_confirmation,seasonal_boundary_ridge,5.102179817600676,5.637222222222222
arso_drava,2160,180,2,2020-10-02,SON,first_confirmation,donor_blup_ridge,3.9472876351680966,5.637222222222222
arso_drava,2160,180,3,2021-02-17,DJF,first_confirmation,pchip_or_linear,2.549319414589644,1.4560896255371394
arso_drava,2160,180,3,2021-02-17,DJF,first_confirmation,seasonal_boundary_ridge,1.3244867170392989,1.4560896255371394
arso_drava,2160,180,3,2021-02-17,DJF,first_confirmation,donor_blup_ridge,1.073713152934126,1.4560896255371394
arso_drava,2160,180,4,2021-07-05,JJA,first_confirmation,pchip_or_linear,2.6878607570599518,2.59926335174954
arso_drava,2160,180,4,2021-07-05,JJA,first_confirmation,seasonal_boundary_ridge,2.301282616654497,2.59926335174954
arso_drava,2160,180,4,2021-07-05,JJA,first_confirmation,donor_blup_ridge,1.7866143516664095,2.59926335174954
arso_kamniska_bistrica,4400,7,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,0.2844866071428571,0.28214285714285736
arso_kamniska_bistrica,4400,7,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,0.29443492223210505,0.28214285714285736
arso_kamniska_bistrica,4400,7,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,0.2896193945761246,0.28214285714285736
arso_kamniska_bistrica,4400,7,1,2020-06-30,JJA,first_confirmation,pchip_or_linear,0.4142857142857143,0.4142857142857143
arso_kamniska_bistrica,4400,7,1,2020-06-30,JJA,first_confirmation,seasonal_boundary_ridge,0.411150208531947,0.4142857142857143
arso_kamniska_bistrica,4400,7,1,2020-06-30,JJA,first_confirmation,donor_blup_ridge,0.3968931403797156,0.4142857142857143
arso_kamniska_bistrica,4400,7,2,2020-12-28,DJF,first_confirmation,pchip_or_linear,0.23950892857142833,0.2214285714285714
