network_id,metric,mean_err_recon,mean_err_missing,mean_risk_transfer,mean_risk_fit_loss,n_units
foen_aare_aaregebiet,exceed_days_25,0.0,0.0,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,exceed_days_25,0.42666666666666664,0.42666666666666664,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,exceed_days_25,0.0,0.0,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,exceed_days_25,0.0,0.0,0.645712284387243,0.6401389329111766,12
huc8_02040101,exceed_days_25,1.0555555555555556,1.5555555555555556,0.7386696255652326,0.7359569277729102,18
huc8_05030103,exceed_days_25,2.311111111111111,2.525925925925926,1.1337371618302516,1.1273866242845056,27
huc8_17090004,exceed_days_25,0.0,0.0,0.5038219289142538,0.5062130296936812,21
lubw_neckar,exceed_days_25,0.8533333333333334,0.9600000000000001,0.8050079117613473,0.8023990503136653,30
lubw_rhein,exceed_days_25,1.7999999999999998,1.9111111111111114,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,exceed_days_25,0.0,0.0,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,exceed_days_25,2.253333333333333,3.6399999999999997,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,exceed_days_25,0.0,0.0,0.7158304596878785,0.6972036171980872,12
arso_bistrica,cdd10,14.418315703074148,47.76500000000001,0.8293074078138849,0.8247428703027575,12
arso_sava,cdd10,11.357251385052983,84.31166666666668,0.5583270150263552,0.5484621201347973,24
arso_savinja,cdd10,5.936544385274233,67.74533333333335,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,cdd10,6.60484532730669,99.81822222222226,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,cdd10,20.35478245290119,144.96266666666668,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,cdd10,16.07746802012126,97.17777777777779,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,cdd10,14.135325574874882,64.135,0.645712284387243,0.6401389329111766,12
huc8_02040101,cdd10,19.059390453762482,170.31777777777785,0.7386696255652326,0.7359569277729102,18
huc8_05030103,cdd10,44.6188602320353,254.8088888888889,1.1337371618302516,1.1273866242845056,27
huc8_17090004,cdd10,6.015162446158267,30.614285714285725,0.5038219289142538,0.5062130296936812,21
lubw_neckar,cdd10,44.844037193298355,255.01733333333337,0.8050079117613473,0.8023990503136653,30
lubw_rhein,cdd10,42.93374913533527,362.4111111111112,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,cdd10,29.919169962517945,149.39124278329226,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,cdd10,49.426784011840844,229.104,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,cdd10,28.267699753443413,229.995,0.7158304596878785,0.6972036171980872,12
arso_bistrica,trend_slope,0.11560673042335529,1.672637935217934,0.8293074078138849,0.8247428703027575,12
arso_sava,trend_slope,0.06413736556453697,1.6421403880096814,0.5583270150263552,0.5484621201347973,24
arso_savinja,trend_slope,0.05705648269247377,1.701806107290546,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,trend_slope,0.04492181257855158,0.5156320994326452,0.5541519054289862,0.5715436377939094,27
