network_id,station_id,role,regulated,donor_count,donor_direction,nearest_donor_distance_km,drainage_area_sqkm,climate,bfi,catalog_climate_band,catalog_regulation_stratum,donor_station_ids,eligible_for_matching
huc8_03090204,255654081350200,validation,,6,,4.968228295993194,,,,humid_subtropical,unmatched_gages,02290928|02290930|255327081275900|255432081303900|255534081324000|255726081303700,False
huc8_03090204,255726081303700,validation,,6,,4.799148022320049,,,,humid_subtropical,unmatched_gages,02290928|02290930|255327081275900|255432081303900|255534081324000|255654081350200,False
huc8_03100101,02297345,validation,,3,,1.2777839902589558,,,,humid_subtropical,unregulated,02297350|02297460|02298202,False
huc8_03100101,02297350,validation,,3,U1_D1_B0_X1,1.2777839902589558,,,,humid_subtropical,unregulated,02297345|02297460|02298202,False
huc8_03100101,02297460,validation,,3,,5.816011400022846,,,,humid_subtropical,unregulated,02297345|02297350|02298202,False
huc8_03100101,02298202,validation,False,3,,5.816011400022846,886.2,SECstPlain,41.4,humid_subtropical,unregulated,02297345|02297350|02297460,False
huc8_03100204,02301500,validation,True,2,,11.333522251644156,868.3,SECstPlain,42.1,humid_subtropical,regulated,02301718|02301721,False
huc8_03100204,02301718,validation,,2,U1_D1_B0_X0,5.781852374824037,,,,humid_subtropical,regulated,02301500|02301721,False
huc8_03100204,02301721,validation,,2,,5.781852374824037,,,,humid_subtropical,regulated,02301500|02301718,False
huc8_03100205,02304000,validation,,4,,7.876916657061386,,,,humid_subtropical,regulated,02304510|02304517|023060013|02306028,False
huc8_03100205,02304510,validation,True,4,,1.0496461457305002,1601.2,SECstPlain,38.5,humid_subtropical,regulated,02304000|02304517|023060013|02306028,False
huc8_03100205,02304517,validation,,4,,1.0496461457305002,,,,humid_subtropical,regulated,02304000|02304510|023060013|02306028,False
huc8_03100205,023060013,validation,,4,U3_D1_B0_X0,1.3454989929181707,,,,humid_subtropical,regulated,02304000|02304510|02304517|02306028,False
huc8_03100205,02306028,validation,,4,,8.295272966817429,,,,humid_subtropical,regulated,02304000|02304510|02304517|023060013,False
huc8_03100207,02310308,validation,,11,,50.08969801403214,,,,humid_subtropical,unregulated,02310650|02310673|02310674|02310689|02310690|02310700|02310740|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310650,validation,False,11,,4.879123152137833,16.9,SECstPlain,56.3,humid_subtropical,unregulated,02310308|02310673|02310674|02310689|02310690|02310700|02310740|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310673,validation,,11,,1.6505053375937409,,,,humid_subtropical,unregulated,02310308|02310650|02310674|02310689|02310690|02310700|02310740|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310674,validation,,11,,1.6505053375937409,,,,humid_subtropical,unregulated,02310308|02310650|02310673|02310689|02310690|02310700|02310740|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310689,validation,,11,U0_D1_B1_X9,1.3385362035345079,,,,humid_subtropical,unregulated,02310308|02310650|02310673|02310674|02310690|02310700|02310740|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310690,validation,,11,,1.3385362035345079,,,,humid_subtropical,unregulated,02310308|02310650|02310673|02310674|02310689|02310700|02310740|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310700,validation,False,11,,2.3309523005601593,401.8,SECstPlain,60.5,humid_subtropical,unregulated,02310308|02310650|02310673|02310674|02310689|02310690|02310740|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310740,validation,,11,,1.0087650801090116,,,,humid_subtropical,unregulated,02310308|02310650|02310673|02310674|02310689|02310690|02310700|02310742|02310752|02313272|285531082412600,False
huc8_03100207,02310742,validation,,11,,1.0087650801090116,,,,humid_subtropical,unregulated,02310308|02310650|02310673|02310674|02310689|02310690|02310700|02310740|02310752|02313272|285531082412600,False
huc8_03100207,02310752,validation,,11,,4.022876788577346,,,,humid_subtropical,unregulated,02310308|02310650|02310673|02310674|02310689|02310690|02310700|02310740|02310742|02313272|285531082412600,False
