date,GPRSA9A,GSML37,EN0099A,EN0100A,EN0101A,EP0124A,EP0130A,EP0137A
2013-02-06,,,7.356354166666667,9.721666666666666,8.3365625,,,
2013-02-07,,,7.459791666666667,9.745208333333332,8.693020833333334,,,
2013-02-08,,,7.904,10.251041666666667,8.993684210526316,,,
2013-02-09,,,8.873020833333333,10.763020833333334,9.7678125,,,
2013-02-10,,,8.463157894736842,9.873854166666666,9.399895833333334,,,
2013-02-11,,,7.7742708333333335,10.302395833333334,8.9628125,,,
2013-02-12,,,8.172234042553193,10.466041666666667,9.196458333333334,,,
2013-02-13,,,8.303333333333333,9.831979166666667,9.438854166666667,,,
2013-02-14,,,9.060947368421052,10.3634375,9.8103125,,,
2013-02-15,,,8.417446808510638,10.566489361702128,9.361979166666666,,,
2013-02-16,,,8.731250000000001,10.688125,9.625104166666667,,,
2013-02-17,,,8.326875,10.386770833333333,9.0696875,,,
2013-02-18,,,8.0746875,10.336041666666667,8.896145833333334,,,
2013-02-19,,,8.077187499999999,10.410833333333334,8.966145833333334,,,
2013-02-20,,,7.865833333333334,10.230416666666667,8.7715625,,,
2013-02-21,,,6.648229166666667,9.594270833333333,7.758437499999999,,,
2013-02-22,,,5.893541666666667,9.465833333333334,7.306770833333334,,,
2013-02-23,,,6.089895833333333,9.710520833333334,7.643541666666667,,,
2013-02-24,,,6.341979166666667,9.781145833333333,7.858020833333334,,,
2013-02-25,,,6.617708333333333,9.84375,8.09125,,,
2013-02-26,,,7.095833333333334,9.926770833333334,8.4321875,,,
2013-02-27,,,7.368958333333333,9.953125,8.552708333333333,,,
2013-02-28,,,6.311875000000001,9.579062500000001,7.805312499999999,,,
2013-03-01,,,6.939270833333333,9.773958333333333,8.3140625,,,
2013-03-02,,,6.9009375,9.624895833333333,8.231041666666666,,,
2013-03-03,,,6.615416666666667,9.488020833333334,8.0903125,,,
2013-03-04,,,7.219374999999999,9.633125,8.346458333333333,,,
2013-03-05,,,8.080729166666666,10.118541666666667,9.133125,,,
2013-03-06,,,9.17625,10.465104166666666,9.8575,,,
2013-03-07,,,9.489479166666667,10.3728125,10.039270833333333,,,
2013-03-08,,,9.700425531914894,10.628571428571428,10.252222222222223,,,
2013-07-12,,,,,,,,-9.99
2013-07-13,,,,,,,,-9.99
2013-07-14,,,,,,,,-9.99
2013-07-15,,,,,,,,-9.99
2013-07-25,,,,,,-9.99,48067.825,
2013-07-26,,,,,,-9.99,140627.32352941178,
2013-08-14,,,,,,20.765,21.494999999999997,
2013-08-21,,,,,,14.816923076923077,14.74392857142857,
2013-08-22,,,,,,14.548541666666667,14.835,
2013-08-23,,,,,,14.034583333333332,14.183958333333335,
2013-08-24,,,,,,14.061666666666667,14.368333333333332,
2013-08-25,,,,,,14.379166666666668,14.625208333333333,
2013-08-26,,,,,,15.074375000000002,15.259166666666667,
2013-08-27,,,,,,15.066458333333335,15.123958333333334,
2013-08-28,,,,,,14.896041666666667,15.10875,
2013-08-29,,,,,,14.524583333333332,14.566458333333335,
2013-08-30,,,,,,15.106250000000001,15.465625000000001,
2013-08-31,,,,,,13.960208333333334,14.468333333333334,
2013-09-01,,,,,,12.67,12.66375,
