source_station,target_station,variable,lag_days,lag_definition,period,raw_correlation,raw_n_pairs,anomaly_correlation,anomaly_n_pairs
B1,S2,F,19,positive=source_leads_target,train,0.8290974039927131,3633,0.45499458706127,3633
B1,S2,F,20,positive=source_leads_target,train,0.8202679282344647,3632,0.4400249122842414,3632
B1,S2,F,21,positive=source_leads_target,train,0.8108745175720429,3631,0.4265661078764844,3631
B1,S2,F,22,positive=source_leads_target,train,0.800994816432063,3630,0.41297939549686585,3630
B1,S2,F,23,positive=source_leads_target,train,0.7905965392042272,3629,0.39865003717457825,3629
B1,S2,F,24,positive=source_leads_target,train,0.7799193325396762,3628,0.381832871422668,3628
B1,S2,F,25,positive=source_leads_target,train,0.7692075236018434,3627,0.3625809921567852,3627
B1,S2,F,26,positive=source_leads_target,train,0.7585348823068828,3626,0.34217488314365896,3626
B1,S2,F,27,positive=source_leads_target,train,0.7479794119625537,3625,0.32305589351071196,3625
B1,S2,F,28,positive=source_leads_target,train,0.7376269702146966,3624,0.30720948062625214,3624
B1,S2,F,29,positive=source_leads_target,train,0.7272652252770295,3623,0.2945491707921371,3623
B1,S2,F,30,positive=source_leads_target,train,0.7165856160131113,3622,0.2820769833550025,3622
B1,S2,L,-30,positive=source_leads_target,train,0.7351541744355052,3622,0.335685550087646,3622
B1,S2,L,-29,positive=source_leads_target,train,0.7455248270343865,3623,0.34834583799891033,3623
B1,S2,L,-28,positive=source_leads_target,train,0.7556684338081651,3624,0.36129385860669777,3624
B1,S2,L,-27,positive=source_leads_target,train,0.7654490515971296,3625,0.3728089512370553,3625
B1,S2,L,-26,positive=source_leads_target,train,0.7748473851605424,3626,0.38366302100212485,3626
B1,S2,L,-25,positive=source_leads_target,train,0.7839049593346641,3627,0.3943124967539665,3627
B1,S2,L,-24,positive=source_leads_target,train,0.7928586313231522,3628,0.4064189916112733,3628
B1,S2,L,-23,positive=source_leads_target,train,0.8018955765736449,3629,0.41907410418491764,3629
B1,S2,L,-22,positive=source_leads_target,train,0.8110212500472131,3630,0.4311159772847154,3630
B1,S2,L,-21,positive=source_leads_target,train,0.8200993894888432,3631,0.4422095256283119,3631
B1,S2,L,-20,positive=source_leads_target,train,0.8289778725440589,3632,0.45281644849403235,3632
B1,S2,L,-19,positive=source_leads_target,train,0.8375652018820213,3633,0.4661633279317709,3633
B1,S2,L,-18,positive=source_leads_target,train,0.8459009670386601,3634,0.48115507216272624,3634
