evaluation_split,experiment,station_id,target,model,gap_length,window,information_combination,primary_data_version,sensitivity_data_version,primary_MAE,sensitivity_MAE,MAE_difference,ci_lower,ci_upper,p_value,n_paired_anchors,n_years,hypothesis_family,training_seeds_collapsed_first,bootstrap_unit,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,status
development_test,M2,B1,L,climatology,30.0,368,full_information,published_v2,no_s2_suspect_v2,8.787953491210937,8.787953491210937,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,climatology,90.0,368,full_information,published_v2,no_s2_suspect_v2,8.69015157063802,8.69015157063802,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,climatology,180.0,368,full_information,published_v2,no_s2_suspect_v2,8.398502536349827,8.398502536349827,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,donor_regression,10.0,368,full_information,published_v2,no_s2_suspect_v2,8.408592360110088,8.475532758581304,0.06694039847121536,0.00316248197467196,0.12979378330298266,0.3974238318751304,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,donor_regression,30.0,368,full_information,published_v2,no_s2_suspect_v2,8.309365042766716,8.414163092565502,0.10479804979878789,0.05293716246851211,0.15536456637812274,0.09449897358172166,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.433870893245966,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,donor_regression,90.0,368,full_information,published_v2,no_s2_suspect_v2,8.237485000742481,8.354828010647637,0.11734300990515603,0.07680140012229612,0.15433169872447247,0.0006384575062838849,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,0.00525940937060522,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,donor_regression,180.0,368,full_information,published_v2,no_s2_suspect_v2,8.00441663854216,8.107634498364646,0.10321785982248685,0.08403361636379113,0.12190893716451952,1.0437361197546124e-08,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,5.204031670776507e-07,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,kalman,10.0,368,full_information,published_v2,no_s2_suspect_v2,0.3017724111594521,0.3017724111594521,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,kalman,30.0,368,full_information,published_v2,no_s2_suspect_v2,0.5003923002990398,0.5003923002990398,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,L,kalman,90.0,368,full_information,published_v2,no_s2_suspect_v2,1.4407421088887782,1.4407421088887782,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
