experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,evaluation_split,validation_scope,target_station_id,station_id,target,model,gap_length,failed_count,failure_fraction,failure_class,mean_skill,n_events,full_network_skill,relative_skill,network_size,reason,failure_count,status
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,linear,180.0,3,1.0,full_network,-3.0391487726836894,20,-3.0391487726836894,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,10.0,0,0.0,none,0.021102526743790782,20,0.021102526743790782,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,10.0,1,0.3333333333333333,single,0.021102526743790793,60,0.021102526743790782,1.0000000000000004,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,10.0,2,0.6666666666666666,double,0.021102526743790793,60,0.021102526743790782,1.0000000000000004,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,10.0,3,1.0,full_network,0.021102526743790782,20,0.021102526743790782,1.0,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,30.0,0,0.0,none,0.02456859439920277,20,0.02456859439920277,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,30.0,1,0.3333333333333333,single,0.02456859439920277,60,0.02456859439920277,1.0,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,30.0,2,0.6666666666666666,double,0.02456859439920277,60,0.02456859439920277,1.0,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,30.0,3,1.0,full_network,0.02456859439920277,20,0.02456859439920277,1.0,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,90.0,0,0.0,none,-1.2544265315620637,20,-1.2544265315620637,,3,full-network skill is not positive,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,90.0,1,0.3333333333333333,single,-1.2544265315620637,60,-1.2544265315620637,,3,full-network skill is not positive,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,90.0,2,0.6666666666666666,double,-1.2544265315620637,60,-1.2544265315620637,,3,full-network skill is not positive,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,90.0,3,1.0,full_network,-1.2544265315620637,20,-1.2544265315620637,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,180.0,0,0.0,none,-2.819138344131508,20,-2.819138344131508,,3,full-network skill is not positive,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,180.0,1,0.3333333333333333,single,-2.819138344131508,60,-2.819138344131508,,3,full-network skill is not positive,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,180.0,2,0.6666666666666666,double,-2.819138344131508,60,-2.819138344131508,,3,full-network skill is not positive,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,pchip,180.0,3,1.0,full_network,-2.819138344131508,20,-2.819138344131508,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,random_forest,10.0,0,0.0,none,0.26419013069799513,20,0.26419013069799513,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,random_forest,10.0,1,0.3333333333333333,single,-2.8773026723213495,60,0.26419013069799513,-10.891030125612428,3,,1,ok
