panel,horizon,n_units,n_networks,rung,network_spearman,pooled_spearman
first,90,219,42,r7_empirical_curve,0.8116846284741918,0.756593067685525
first,90,219,42,r8_simple_routeA,0.528887448342922,0.410329384075771
first,90,219,42,r10_blocked_cv_mean,,
first,90,219,42,r11_risk_surface,0.8060124787294385,0.8195429407329203
first,90,219,42,r12_meta_stack,0.6557815412041165,0.5086864624630115
first,180,201,39,r1_global_mean,,
first,180,201,39,r2_gap_only,,
first,180,201,39,r3_gap_season,0.3680659685033692,0.3877239601933068
first,180,201,39,r4_network_mean,0.6914979757085021,0.49005410529063675
first,180,201,39,r5_network_x_horizon,0.6848178137651822,0.45520042918107784
first,180,201,39,r6_station_x_horizon,0.6848178137651822,0.5568873665952545
first,180,201,39,r7_empirical_curve,0.6803643724696357,0.5527327906705856
first,180,201,39,r8_simple_routeA,0.4645748987854251,0.3618826658785282
first,180,201,39,r10_blocked_cv_mean,,
first,180,201,39,r11_risk_surface,0.7291497975708502,0.6950046893951195
first,180,201,39,r12_meta_stack,0.7344129554655872,0.5291813211171864
first,365,144,32,r1_global_mean,,
first,365,144,32,r2_gap_only,,
first,365,144,32,r3_gap_season,0.16754186256748968,0.08640901042642748
first,365,144,32,r4_network_mean,0.6990469208211143,0.3565316141676549
first,365,144,32,r5_network_x_horizon,0.6990469208211143,0.3565316141676549
first,365,144,32,r6_station_x_horizon,0.6990469208211143,0.3565316141676549
first,365,144,32,r7_empirical_curve,0.6990469208211143,0.3565316141676549
first,365,144,32,r8_simple_routeA,0.48680351906158353,0.39029016960051444
first,365,144,32,r10_blocked_cv_mean,,
first,365,144,32,r11_risk_surface,0.7576979472140761,0.7581886155582128
first,365,144,32,r12_meta_stack,0.7063782991202344,0.5265010851217748
