network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_02070010,01649190,30,DJF,8,2017-02-20,0.5449705537160237,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,DJF,9,2019-12-02,0.7343053833643596,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,0,2015-06-30,0.2646251551310221,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,1,2015-07-16,0.21501033782958967,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,2,2015-08-02,0.2829776128133137,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,3,2015-08-19,0.34556535085042306,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,4,2016-07-13,0.5849443689982096,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,5,2018-06-09,1.0782429122924801,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,6,2018-07-26,0.4584872309366859,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,7,2019-06-06,1.3411331303914387,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,8,2019-06-23,0.730384063720703,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,JJA,9,2019-08-31,0.9378165181477865,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,MAM,0,2015-03-01,0.4858036945263544,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,MAM,1,2015-03-17,0.3109580485026041,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
huc8_02070010,01649190,30,MAM,2,2015-04-03,0.33163632710774743,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008,2015|2016|2017|2018|2019
