network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_02070010,01649500,30,MAM,5,2017-03-22,2.0501768239339193,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,6,2017-04-08,4.453570353190104,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,7,2019-03-29,2.4319580459594734,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,8,2019-04-15,1.5844705073038738,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,MAM,9,2019-05-02,1.7303940582275392,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,0,2015-10-29,1.8277648607889811,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,1,2016-11-03,2.1375084686279298,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,2,2016-11-27,2.7875696372985836,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,3,2017-10-19,1.8923416392008467,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,4,2018-09-23,2.321707464853922,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,5,2018-10-17,2.0218586349487304,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,6,2018-11-11,1.446795463562012,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,7,2019-09-12,1.6168271001180017,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,8,2019-10-06,1.5334560203552248,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,30,SON,9,2019-11-30,2.763270441691081,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,0,2015-01-16,3.583205577002631,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,1,2015-01-26,3.3520288403828937,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,2,2015-02-05,3.478881844149696,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,3,2016-12-11,2.3224053759045074,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,4,2016-12-21,2.422865761650933,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,5,2017-01-01,2.375817405382792,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,6,2017-01-11,3.204502234889401,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,7,2017-01-22,3.328664073944092,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,8,2017-02-01,2.87008600446913,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,DJF,9,2017-02-12,4.038743044535319,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,JJA,0,2015-06-30,3.1383491982354057,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,0,2016-10-17,2.9118224790361187,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,1,2016-10-23,3.9117060799068875,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,2,2016-10-29,3.0571239068773064,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,3,2016-11-05,3.428401834699843,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,4,2016-11-11,4.057095193862915,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,5,2016-11-18,2.1994811768001985,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,6,2016-11-24,2.9052681594424783,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,7,2018-09-11,2.8532054254743793,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,8,2018-09-17,2.978072494930691,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,90,SON,9,2018-09-24,2.9740708722008593,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,0,2016-10-17,2.6497654422124226,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,1,2016-10-20,2.73872643576728,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,2,2016-10-23,2.579479301770528,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,3,2016-10-26,4.059253832499185,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,4,2016-10-29,3.383853963745965,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,5,2016-11-01,3.1225513026449416,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,6,2016-11-04,2.756337306764391,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,7,2016-11-07,4.484544747670491,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,8,2016-11-10,4.745793772803413,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,180,SON,9,2016-11-14,3.7985079352060955,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
