network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05020006,03081000,7,SON,7,2019-09-02,0.12387319292341051,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,8,2019-10-18,0.31185253688267267,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,9,2019-11-26,0.24449378422328394,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,0,2015-01-01,0.5872572898864747,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,1,2015-01-22,0.16977317810058595,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,2,2015-02-12,0.8371235307057698,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,3,2015-12-28,0.6372898149490357,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,4,2016-01-18,1.1398935159047445,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,5,2016-02-09,0.49501727898915615,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,6,2016-12-21,0.3859872007369995,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,7,2017-01-12,0.23043898582458497,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,8,2017-02-02,0.4562092924118042,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
