station_id,model,missing_rate,pattern,target,metric,mean,median,std,ci_lower,ci_upper,n_events,ci_method,reason
B1,pchip,0.1,T,T,RMSE,0.2294346725801098,0.22537871571766238,0.030577177470060325,0.21781177658514755,0.24422593825271965,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.1,T,T,skill,0.7876461783995394,0.7853957248168161,0.02120344327674819,0.7779913556043121,0.7968080903348869,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.1,T+F+L,T,MAE,0.166667996615723,0.1662307484501988,0.016832242623599124,0.1601922795055266,0.17399489575794644,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.1,T+F+L,T,RMSE,0.2294346725801098,0.22537871571766238,0.030577177470060325,0.2173822133778317,0.243537065629493,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.1,T+F+L,T,skill,0.7876461783995394,0.7853957248168161,0.02120344327674819,0.7784790305545891,0.7968708688221181,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.3,T,T,MAE,0.1822823765408959,0.18137872408486255,0.009633426582776836,0.17835088310182032,0.186576340453795,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.3,T,T,RMSE,0.24906096532932626,0.24511972460132347,0.020444496869062946,0.24127968806273814,0.25853558871688115,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.3,T,T,skill,0.7686120865333559,0.7684281179731285,0.013892941606076398,0.7623302840781385,0.7745116934654191,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.3,T+F+L,T,MAE,0.1822823765408959,0.18137872408486255,0.009633426582776836,0.1782101885068987,0.18644138940727314,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.3,T+F+L,T,RMSE,0.24906096532932626,0.24511972460132347,0.020444496869062946,0.24115854456997052,0.25892080576948956,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.3,T+F+L,T,skill,0.7686120865333559,0.7684281179731285,0.013892941606076398,0.7626951560328105,0.7743098698212013,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.5,T,T,MAE,0.2186785621190908,0.21432986635433543,0.011589650988295098,0.21407923170787727,0.22373296177720448,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.5,T,T,RMSE,0.3040175244874383,0.2941798736290867,0.026082602086862375,0.2938549444947496,0.3147353840868801,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.5,T,T,skill,0.7230229061207915,0.7264373494319409,0.01519131001487423,0.7162808640328495,0.7294886451813556,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.5,T+F+L,T,MAE,0.2186785621190908,0.21432986635433543,0.011589650988295098,0.21408393462301673,0.2239245234071619,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.5,T+F+L,T,RMSE,0.3040175244874383,0.2941798736290867,0.026082602086862375,0.2938130284786786,0.3155814575967907,20,percentile bootstrap over scenario_id (1000 replicates),
B1,pchip,0.5,T+F+L,T,skill,0.7230229061207915,0.7264373494319409,0.01519131001487423,0.7163455536571853,0.7294127578238869,20,percentile bootstrap over scenario_id (1000 replicates),
B1,random_forest,0.1,T,T,MAE,0.5268864693998433,0.5288894660485151,0.035769036426280654,0.5126062303464084,0.5428413618536428,20,percentile bootstrap over scenario_id (1000 replicates),
B1,random_forest,0.1,T,T,RMSE,0.6607288973499641,0.6580163586886495,0.041208554651006084,0.642610114268637,0.6807230763959261,20,percentile bootstrap over scenario_id (1000 replicates),
B1,random_forest,0.1,T,T,skill,0.3290613250180291,0.3295742523774864,0.04088279126988491,0.31190030562538146,0.3469162375832711,20,percentile bootstrap over scenario_id (1000 replicates),
B1,random_forest,0.1,T+F+L,T,MAE,0.4904948588874574,0.48898139218330083,0.03527738841444302,0.4746801558828554,0.5048708313068883,20,percentile bootstrap over scenario_id (1000 replicates),
B1,random_forest,0.1,T+F+L,T,RMSE,0.6115467965556023,0.6111525625414713,0.04221973587070918,0.5940498029405679,0.629117572806115,20,percentile bootstrap over scenario_id (1000 replicates),
B1,random_forest,0.1,T+F+L,T,skill,0.3752106673628101,0.37392458585452315,0.04391309062287594,0.3579870952775155,0.3956843672408842,20,percentile bootstrap over scenario_id (1000 replicates),
B1,random_forest,0.3,T,T,MAE,0.5425696674748799,0.5410310651759032,0.015367079737421548,0.5356458555838909,0.5488916367428404,20,percentile bootstrap over scenario_id (1000 replicates),
