event_id,pair_id,anchor_id,station_id,event_type,season,episode_length,analysis_eligible,cluster_id,cluster_size,station_cluster_id,station_cluster_size,station_event_type_cluster_id,station_event_type_cluster_size,experiment_family
M7BEVENT-20190609-20190603-20190609-8B14FE03536D,M7BPAIR-M7BEVENT2019060920190603201906098B14FE03536D-M7BCONTROL201906092019061020190616AD5EA6D7DC6D-BA3C88B91051,M7BANCHOR-M7BEVENT2019060920190603201906098B14FE03536D-M7BCONTROL201906092019061020190616AD5EA6D7DC6D-BA3C88B91051,B1,low_flow,JJA,7,True,EC0036,23,STB1-SC0033,5,ETB1low_flow-TC0004,1,M7b
M7BEVENT-20180326-20180209-20180326-61C334D50427,M7BPAIR-M7BEVENT20180326201802092018032661C334D50427-M7BCONTROL2018032620180327201805110E934510B1F1-F749E568D466,M7BANCHOR-M7BEVENT20180326201802092018032661C334D50427-M7BCONTROL2018032620180327201805110E934510B1F1-F749E568D466,B1,low_flow,MAM,46,True,EC0001,33,STB1-SC0005,6,ETB1low_flow-TC0001,1,M7b
M7BEVENT-20181113-20181105-20181113-16C49213CA83,M7BPAIR-M7BEVENT20181113201811052018111316C49213CA83-M7BCONTROL2018111320181027201811043882C5908A05-F6B6B229CED6,M7BANCHOR-M7BEVENT20181113201811052018111316C49213CA83-M7BCONTROL2018111320181027201811043882C5908A05-F6B6B229CED6,B1,low_flow,SON,9,True,EC0020,9,STB1-SC0021,5,ETB1low_flow-TC0003,1,M7b
M7BEVENT-20180103-20180103-20180103-3B3130B53DFA,M7BPAIR-M7BEVENT2018010320180103201801033B3130B53DFA-M7BCONTROL2018010320180102201801025D2D1F028B1A-2362AD8CB3AC,M7BANCHOR-M7BEVENT2018010320180103201801033B3130B53DFA-M7BCONTROL2018010320180102201801025D2D1F028B1A-2362AD8CB3AC,B1,rapid_warming,DJF,1,True,EC0001,33,STB1-SC0001,1,ETB1rapid_warming-TC0001,1,M7b
M7BEVENT-20180114-20180114-20180114-390E74639B8B,M7BPAIR-M7BEVENT201801142018011420180114390E74639B8B-M7BCONTROL2018011420180113201801133FC405EFC92F-2767E3D27FBC,M7BANCHOR-M7BEVENT201801142018011420180114390E74639B8B-M7BCONTROL2018011420180113201801133FC405EFC92F-2767E3D27FBC,B1,rapid_warming,DJF,1,True,EC0001,33,STB1-SC0002,1,ETB1rapid_warming-TC0002,1,M7b
M7BEVENT-20180207-20180207-20180207-9A4B2690BE12,M7BPAIR-M7BEVENT2018020720180207201802079A4B2690BE12-M7BCONTROL201802072018020620180206E6B9671943FC-E5D76C9933F5,M7BANCHOR-M7BEVENT2018020720180207201802079A4B2690BE12-M7BCONTROL201802072018020620180206E6B9671943FC-E5D76C9933F5,B1,rapid_warming,DJF,1,True,EC0001,33,STB1-SC0004,1,ETB1rapid_warming-TC0003,1,M7b
M7BEVENT-20180214-20180214-20180214-21ED5F316C97,M7BPAIR-M7BEVENT20180214201802142018021421ED5F316C97-M7BCONTROL201802142018021320180213FB105BCEEC70-A4FE1DA16FAD,M7BANCHOR-M7BEVENT20180214201802142018021421ED5F316C97-M7BCONTROL201802142018021320180213FB105BCEEC70-A4FE1DA16FAD,B1,rapid_warming,DJF,1,True,EC0001,33,STB1-SC0005,6,ETB1rapid_warming-TC0004,1,M7b
M7BEVENT-20180219-20180219-20180219-7416773B92B8,M7BPAIR-M7BEVENT2018021920180219201802197416773B92B8-M7BCONTROL201802192018021820180218A0F1325BD0F8-DC1F12DA771B,M7BANCHOR-M7BEVENT2018021920180219201802197416773B92B8-M7BCONTROL201802192018021820180218A0F1325BD0F8-DC1F12DA771B,B1,rapid_warming,DJF,1,True,EC0001,33,STB1-SC0005,6,ETB1rapid_warming-TC0005,1,M7b
M7BEVENT-20180227-20180227-20180227-E4AE96B368C8,M7BPAIR-M7BEVENT201802272018022720180227E4AE96B368C8-M7BCONTROL201802272018022620180226CC3E869A1ECF-7172FE05A297,M7BANCHOR-M7BEVENT201802272018022720180227E4AE96B368C8-M7BCONTROL201802272018022620180226CC3E869A1ECF-7172FE05A297,B1,rapid_warming,DJF,1,True,EC0001,33,STB1-SC0005,6,ETB1rapid_warming-TC0006,1,M7b
M7BEVENT-20181201-20181201-20181201-86A5DD591569,M7BPAIR-M7BEVENT20181201201812012018120186A5DD591569-M7BCONTROL20181201201812022018120288E03E62894C-4939DE14E984,M7BANCHOR-M7BEVENT20181201201812012018120186A5DD591569-M7BCONTROL20181201201812022018120288E03E62894C-4939DE14E984,B1,rapid_warming,DJF,1,True,EC0021,9,STB1-SC0022,3,ETB1rapid_warming-TC0027,1,M7b
M7BEVENT-20190202-20190202-20190202-71E5A2FFFC80,M7BPAIR-M7BEVENT20190202201902022019020271E5A2FFFC80-M7BCONTROL201902022019020120190201C4B3A8C4C7F8-A7D723DE3520,M7BANCHOR-M7BEVENT20190202201902022019020271E5A2FFFC80-M7BCONTROL201902022019020120190201C4B3A8C4C7F8-A7D723DE3520,B1,rapid_warming,DJF,1,True,EC0023,8,STB1-SC0023,1,ETB1rapid_warming-TC0028,1,M7b
M7BEVENT-20190209-20190208-20190209-2759732FBEA9,M7BPAIR-M7BEVENT2019020920190208201902092759732FBEA9-M7BCONTROL201902092019020620190207152C7447D785-E1BD3B86A3D3,M7BANCHOR-M7BEVENT2019020920190208201902092759732FBEA9-M7BCONTROL201902092019020620190207152C7447D785-E1BD3B86A3D3,B1,rapid_warming,DJF,2,True,EC0025,2,STB1-SC0024,1,ETB1rapid_warming-TC0029,1,M7b
M7BEVENT-20200109-20200109-20200109-A6C2898C94AA,M7BPAIR-M7BEVENT202001092020010920200109A6C2898C94AA-M7BCONTROL2020010920200108202001086C2C389D2EC6-983678484584,M7BANCHOR-M7BEVENT202001092020010920200109A6C2898C94AA-M7BCONTROL2020010920200108202001086C2C389D2EC6-983678484584,B1,rapid_warming,DJF,1,True,EC0056,25,STB1-SC0050,1,ETB1rapid_warming-TC0054,1,M7b
M7BEVENT-20200213-20200213-20200213-6140C9F9743F,M7BPAIR-M7BEVENT2020021320200213202002136140C9F9743F-M7BCONTROL202002132020021220200212EC7C2C541D0B-717CB81D779C,M7BANCHOR-M7BEVENT2020021320200213202002136140C9F9743F-M7BCONTROL202002132020021220200212EC7C2C541D0B-717CB81D779C,B1,rapid_warming,DJF,1,True,EC0056,25,STB1-SC0051,1,ETB1rapid_warming-TC0055,1,M7b
M7BEVENT-20200216-20200216-20200216-2209FBDAC8A5,M7BPAIR-M7BEVENT2020021620200216202002162209FBDAC8A5-M7BCONTROL20200216202002152020021554BFD13FA6AC-30D2B297970B,M7BANCHOR-M7BEVENT2020021620200216202002162209FBDAC8A5-M7BCONTROL20200216202002152020021554BFD13FA6AC-30D2B297970B,B1,rapid_warming,DJF,1,True,EC0056,25,STB1-SC0052,1,ETB1rapid_warming-TC0056,1,M7b
M7BEVENT-20200221-20200221-20200221-BE1A9D6193FC,M7BPAIR-M7BEVENT202002212020022120200221BE1A9D6193FC-M7BCONTROL202002212020022020200220871E12DC249E-1F556EC57D88,M7BANCHOR-M7BEVENT202002212020022120200221BE1A9D6193FC-M7BCONTROL202002212020022020200220871E12DC249E-1F556EC57D88,B1,rapid_warming,DJF,1,True,EC0057,1,STB1-SC0053,1,ETB1rapid_warming-TC0057,1,M7b
M7BEVENT-20200226-20200226-20200226-F8CAFDCCC488,M7BPAIR-M7BEVENT202002262020022620200226F8CAFDCCC488-M7BCONTROL20200226202002252020022521480CF48C69-ACF899E47022,M7BANCHOR-M7BEVENT202002262020022620200226F8CAFDCCC488-M7BCONTROL20200226202002252020022521480CF48C69-ACF899E47022,B1,rapid_warming,DJF,1,True,EC0060,1,STB1-SC0054,1,ETB1rapid_warming-TC0058,1,M7b
M7BEVENT-20201226-20201226-20201226-3C0C17171266,M7BPAIR-M7BEVENT2020122620201226202012263C0C17171266-M7BCONTROL202012262020122520201225B3125CE85F73-4B81AD57D550,M7BANCHOR-M7BEVENT2020122620201226202012263C0C17171266-M7BCONTROL202012262020122520201225B3125CE85F73-4B81AD57D550,B1,rapid_warming,DJF,1,True,EC0080,39,STB1-SC0072,2,ETB1rapid_warming-TC0082,1,M7b
M7BEVENT-20180611-20180610-20180611-AEC81B33D2E2,M7BPAIR-M7BEVENT201806112018061020180611AEC81B33D2E2-M7BCONTROL20180611201806082018060947852BE7A85B-FC5EFCAA3378,M7BANCHOR-M7BEVENT201806112018061020180611AEC81B33D2E2-M7BCONTROL20180611201806082018060947852BE7A85B-FC5EFCAA3378,B1,rapid_warming,JJA,2,True,EC0008,15,STB1-SC0011,3,ETB1rapid_warming-TC0012,1,M7b
M7BEVENT-20180613-20180613-20180613-9A14AD2E2A53,M7BPAIR-M7BEVENT2018061320180613201806139A14AD2E2A53-M7BCONTROL201806132018061220180612061F90AC05A4-EA67B9BA03C8,M7BANCHOR-M7BEVENT2018061320180613201806139A14AD2E2A53-M7BCONTROL201806132018061220180612061F90AC05A4-EA67B9BA03C8,B1,rapid_warming,JJA,1,True,EC0008,15,STB1-SC0011,3,ETB1rapid_warming-TC0013,1,M7b
M7BEVENT-20180619-20180619-20180619-A0B86EB7E13D,M7BPAIR-M7BEVENT201806192018061920180619A0B86EB7E13D-M7BCONTROL201806192018061820180618CDE1DDC6665F-102C0C163498,M7BANCHOR-M7BEVENT201806192018061920180619A0B86EB7E13D-M7BCONTROL201806192018061820180618CDE1DDC6665F-102C0C163498,B1,rapid_warming,JJA,1,True,EC0010,1,STB1-SC0012,1,ETB1rapid_warming-TC0014,1,M7b
