left_event_id,right_event_id,left_station_id,right_station_id,left_event_type,right_event_type,left_season,right_season,same_station,same_event_type,same_season,overlap_days,union_days,jaccard,overlap_class,experiment_family
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BEVENT-20190914-20190914-20190914-F2A388295D5F,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BEVENT-20190917-20190917-20190917-7CE0265B58A8,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20190926-20190914-20190928-6ACAC673A986,M7BEVENT-20190927-20190919-20191003-F07898434D13,B1,S2,flood,flood,SON,SON,False,True,True,10,20,0.5,cross_station,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20201002-20200922-20201006-EF52E0480CB9,B1,B1,flood,flood,SON,SON,True,True,True,3,27,0.1111111111111111,same_type_flood,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200915-20200907-20200915-5A86414CBC57,B1,B1,flood,high_temperature,SON,SON,True,False,True,6,18,0.3333333333333333,cross_type,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200910-20200910-20200910-5B42914AA5BF,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200922-20200922-20200922-08D8F1A0CC32,B1,B1,flood,rapid_warming,SON,SON,True,False,True,1,15,0.06666666666666667,cross_type,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200920-20200908-20200922-B7EB31057A7B,B1,P3,flood,flood,SON,SON,False,True,True,13,17,0.7647058823529411,cross_station,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20201231-20200910-20201231-B129EDAE58BC,B1,P3,flood,high_temperature,SON,SON,False,False,True,15,113,0.13274336283185842,cross_station,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200912-20200912-20200912-66CACDB2067B,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200918-20200918-20200918-CEE5E9141EBF,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200921-20200921-20200921-AEF195F14E65,B1,P3,flood,rapid_warming,SON,SON,False,False,True,1,15,0.06666666666666667,cross_station,M7b
M7BEVENT-20200919-20200910-20200924-3DC83F169701,M7BEVENT-20200920-20200912-20200926-1AA924D66748,B1,S2,flood,flood,SON,SON,False,True,True,13,17,0.7647058823529411,cross_station,M7b
