criterion,method,c,family,share
mean_width,oracle,0.7,xgboost,0.5634920634920635
mean_width,proposed,0.8,seasonal_ridge,0.0
mean_width,proposed,0.8,donor_ridge,0.6215277777777778
mean_width,proposed,0.8,xgboost,0.3784722222222222
mean_width,best_fixed,0.8,seasonal_ridge,0.0
mean_width,best_fixed,0.8,donor_ridge,0.0
mean_width,best_fixed,0.8,xgboost,1.0
mean_width,global_cv,0.8,seasonal_ridge,0.0
mean_width,global_cv,0.8,donor_ridge,0.0
mean_width,global_cv,0.8,xgboost,1.0
mean_width,per_network_cv,0.8,seasonal_ridge,0.0
mean_width,per_network_cv,0.8,donor_ridge,0.4435763888888889
mean_width,per_network_cv,0.8,xgboost,0.5564236111111112
mean_width,gap_rule,0.8,seasonal_ridge,0.0
mean_width,gap_rule,0.8,donor_ridge,0.8428819444444444
mean_width,gap_rule,0.8,xgboost,0.15711805555555555
mean_width,random,0.8,seasonal_ridge,0.3524305555555556
mean_width,random,0.8,donor_ridge,0.3298611111111111
mean_width,random,0.8,xgboost,0.3177083333333333
mean_width,oracle,0.8,seasonal_ridge,0.010416666666666666
mean_width,oracle,0.8,donor_ridge,0.4401041666666667
mean_width,oracle,0.8,xgboost,0.5494791666666666
mean_width,proposed,0.9,seasonal_ridge,0.0015432098765432098
mean_width,proposed,0.9,donor_ridge,0.6311728395061729
mean_width,proposed,0.9,xgboost,0.36728395061728397
mean_width,best_fixed,0.9,seasonal_ridge,0.0
mean_width,best_fixed,0.9,donor_ridge,0.0
mean_width,best_fixed,0.9,xgboost,1.0
mean_width,global_cv,0.9,seasonal_ridge,0.0
mean_width,global_cv,0.9,donor_ridge,0.0
mean_width,global_cv,0.9,xgboost,1.0
mean_width,per_network_cv,0.9,seasonal_ridge,0.0
mean_width,per_network_cv,0.9,donor_ridge,0.47762345679012347
mean_width,per_network_cv,0.9,xgboost,0.5223765432098766
mean_width,gap_rule,0.9,seasonal_ridge,0.0
mean_width,gap_rule,0.9,donor_ridge,0.8449074074074074
mean_width,gap_rule,0.9,xgboost,0.1550925925925926
mean_width,random,0.9,seasonal_ridge,0.3472222222222222
mean_width,random,0.9,donor_ridge,0.33564814814814814
mean_width,random,0.9,xgboost,0.31712962962962965
mean_width,oracle,0.9,seasonal_ridge,0.010030864197530864
mean_width,oracle,0.9,donor_ridge,0.45447530864197533
mean_width,oracle,0.9,xgboost,0.5354938271604939
mean_width,proposed,1.0,seasonal_ridge,0.001388888888888889
mean_width,proposed,1.0,donor_ridge,0.59375
mean_width,proposed,1.0,xgboost,0.4048611111111111
mean_width,best_fixed,1.0,seasonal_ridge,0.0
mean_width,best_fixed,1.0,donor_ridge,0.0
mean_width,best_fixed,1.0,xgboost,1.0
mean_width,global_cv,1.0,seasonal_ridge,0.0
mean_width,global_cv,1.0,donor_ridge,0.0
mean_width,global_cv,1.0,xgboost,1.0
mean_width,per_network_cv,1.0,seasonal_ridge,0.0
mean_width,per_network_cv,1.0,donor_ridge,0.48194444444444445
mean_width,per_network_cv,1.0,xgboost,0.5180555555555556
mean_width,gap_rule,1.0,seasonal_ridge,0.0
mean_width,gap_rule,1.0,donor_ridge,0.7604166666666666
mean_width,gap_rule,1.0,xgboost,0.23958333333333334
mean_width,random,1.0,seasonal_ridge,0.3472222222222222
mean_width,random,1.0,donor_ridge,0.32916666666666666
mean_width,random,1.0,xgboost,0.3236111111111111
mean_width,oracle,1.0,seasonal_ridge,0.009027777777777777
mean_width,oracle,1.0,donor_ridge,0.44722222222222224
mean_width,oracle,1.0,xgboost,0.54375
support_completeness,proposed,0.1,seasonal_ridge,0.006944444444444444
support_completeness,proposed,0.1,donor_ridge,0.6944444444444444
support_completeness,proposed,0.1,xgboost,0.2986111111111111
support_completeness,best_fixed,0.1,seasonal_ridge,0.0
support_completeness,best_fixed,0.1,donor_ridge,0.0
support_completeness,best_fixed,0.1,xgboost,1.0
support_completeness,global_cv,0.1,seasonal_ridge,0.0
support_completeness,global_cv,0.1,donor_ridge,0.0
support_completeness,global_cv,0.1,xgboost,1.0
support_completeness,per_network_cv,0.1,seasonal_ridge,0.0
support_completeness,per_network_cv,0.1,donor_ridge,0.8125
support_completeness,per_network_cv,0.1,xgboost,0.1875
support_completeness,gap_rule,0.1,seasonal_ridge,0.0
support_completeness,gap_rule,0.1,donor_ridge,0.6736111111111112
support_completeness,gap_rule,0.1,xgboost,0.3263888888888889
support_completeness,random,0.1,seasonal_ridge,0.3263888888888889
support_completeness,random,0.1,donor_ridge,0.2777777777777778
support_completeness,random,0.1,xgboost,0.3958333333333333
support_completeness,oracle,0.1,seasonal_ridge,0.0
support_completeness,oracle,0.1,donor_ridge,0.6319444444444444
support_completeness,oracle,0.1,xgboost,0.3680555555555556
support_completeness,proposed,0.2,seasonal_ridge,0.006944444444444444
support_completeness,proposed,0.2,donor_ridge,0.5347222222222222
support_completeness,proposed,0.2,xgboost,0.4583333333333333
support_completeness,best_fixed,0.2,seasonal_ridge,0.0
support_completeness,best_fixed,0.2,donor_ridge,0.0
support_completeness,best_fixed,0.2,xgboost,1.0
support_completeness,global_cv,0.2,seasonal_ridge,0.0
support_completeness,global_cv,0.2,donor_ridge,0.0
support_completeness,global_cv,0.2,xgboost,1.0
support_completeness,per_network_cv,0.2,seasonal_ridge,0.0
support_completeness,per_network_cv,0.2,donor_ridge,0.6944444444444444
support_completeness,per_network_cv,0.2,xgboost,0.3055555555555556
support_completeness,gap_rule,0.2,seasonal_ridge,0.0
support_completeness,gap_rule,0.2,donor_ridge,0.5729166666666666
support_completeness,gap_rule,0.2,xgboost,0.4270833333333333
support_completeness,random,0.2,seasonal_ridge,0.3472222222222222
support_completeness,random,0.2,donor_ridge,0.3090277777777778
support_completeness,random,0.2,xgboost,0.34375
support_completeness,oracle,0.2,seasonal_ridge,0.0
support_completeness,oracle,0.2,donor_ridge,0.5104166666666666
support_completeness,oracle,0.2,xgboost,0.4895833333333333
support_completeness,proposed,0.3,seasonal_ridge,0.004629629629629629
support_completeness,proposed,0.3,donor_ridge,0.46064814814814814
support_completeness,proposed,0.3,xgboost,0.5347222222222222
support_completeness,best_fixed,0.3,seasonal_ridge,0.0
support_completeness,best_fixed,0.3,donor_ridge,0.0
support_completeness,best_fixed,0.3,xgboost,1.0
support_completeness,global_cv,0.3,seasonal_ridge,0.0
support_completeness,global_cv,0.3,donor_ridge,0.0
support_completeness,global_cv,0.3,xgboost,1.0
support_completeness,per_network_cv,0.3,seasonal_ridge,0.0
support_completeness,per_network_cv,0.3,donor_ridge,0.5995370370370371
support_completeness,per_network_cv,0.3,xgboost,0.40046296296296297
