endpoint,anchor,effect_scale,margin,panel_size,power,mean_panel_effect
d_cap_rand_b10,0.1079765299779638,0.5,0.0539882649889819,140,1.0,0.051587030413916185
d_cap_rand_b10,0.1079765299779638,0.5,0.0539882649889819,160,1.0,0.05222700109264164
d_cap_rand_b10,0.1079765299779638,1.0,0.1079765299779638,40,1.0,0.10558309216472964
d_cap_rand_b10,0.1079765299779638,1.0,0.1079765299779638,60,1.0,0.10405071152748213
d_cap_rand_b10,0.1079765299779638,1.0,0.1079765299779638,80,1.0,0.10423398181853526
d_cap_rand_b10,0.1079765299779638,1.0,0.1079765299779638,100,1.0,0.10360765232151464
d_cap_rand_b10,0.1079765299779638,1.0,0.1079765299779638,120,1.0,0.10331095797408847
d_cap_rand_b10,0.1079765299779638,1.0,0.1079765299779638,140,1.0,0.1042326180065409
d_cap_rand_b10,0.1079765299779638,1.0,0.1079765299779638,160,1.0,0.1038011297072849
d_cap_rand_b10,0.1079765299779638,1.5,0.16196479496694569,40,1.0,0.1562382178307438
d_cap_rand_b10,0.1079765299779638,1.5,0.16196479496694569,60,1.0,0.15541070056047437
d_cap_rand_b10,0.1079765299779638,1.5,0.16196479496694569,80,1.0,0.1556353410989586
d_cap_rand_b10,0.1079765299779638,1.5,0.16196479496694569,100,1.0,0.1557017423559704
d_cap_rand_b10,0.1079765299779638,1.5,0.16196479496694569,120,1.0,0.15524543040502226
d_cap_rand_b10,0.1079765299779638,1.5,0.16196479496694569,140,1.0,0.15557043176634067
d_cap_rand_b10,0.1079765299779638,1.5,0.16196479496694569,160,1.0,0.15434722276079088
d_cap_rand_b20,0.1430230678607832,0.5,0.0715115339303916,40,1.0,0.07992103528983634
d_cap_rand_b20,0.1430230678607832,0.5,0.0715115339303916,60,1.0,0.08052862620044891
d_cap_rand_b20,0.1430230678607832,0.5,0.0715115339303916,80,1.0,0.08069682344872488
d_cap_rand_b20,0.1430230678607832,0.5,0.0715115339303916,100,1.0,0.08011373149731248
d_cap_rand_b20,0.1430230678607832,0.5,0.0715115339303916,120,1.0,0.08083867846215631
d_cap_rand_b20,0.1430230678607832,0.5,0.0715115339303916,140,1.0,0.08055336121360641
d_cap_rand_b20,0.1430230678607832,0.5,0.0715115339303916,160,1.0,0.08049352796010256
d_cap_rand_b20,0.1430230678607832,1.0,0.1430230678607832,40,1.0,0.16220703556721464
d_cap_rand_b20,0.1430230678607832,1.0,0.1430230678607832,60,1.0,0.16105078344718035
d_cap_rand_b20,0.1430230678607832,1.0,0.1430230678607832,80,1.0,0.16066104839388876
d_cap_rand_b20,0.1430230678607832,1.0,0.1430230678607832,100,1.0,0.16122121689717786
d_cap_rand_b20,0.1430230678607832,1.0,0.1430230678607832,120,1.0,0.16011384600625694
d_cap_rand_b20,0.1430230678607832,1.0,0.1430230678607832,140,1.0,0.1612714801244399
d_cap_rand_b20,0.1430230678607832,1.0,0.1430230678607832,160,1.0,0.16068037461936474
d_cap_rand_b20,0.1430230678607832,1.5,0.21453460179117478,40,1.0,0.24356932926868763
d_cap_rand_b20,0.1430230678607832,1.5,0.21453460179117478,60,1.0,0.24042722862585442
d_cap_rand_b20,0.1430230678607832,1.5,0.21453460179117478,80,1.0,0.24184526615718083
d_cap_rand_b20,0.1430230678607832,1.5,0.21453460179117478,100,1.0,0.24313488073068795
d_cap_rand_b20,0.1430230678607832,1.5,0.21453460179117478,120,1.0,0.24144411490108722
d_cap_rand_b20,0.1430230678607832,1.5,0.21453460179117478,140,1.0,0.24137906327190028
d_cap_rand_b20,0.1430230678607832,1.5,0.21453460179117478,160,1.0,0.24233200458800014
d_cap_rand_b30,0.23964278794017477,0.5,0.11982139397008738,40,1.0,0.11034008247037627
d_cap_rand_b30,0.23964278794017477,0.5,0.11982139397008738,60,1.0,0.10890189276130806
d_cap_rand_b30,0.23964278794017477,0.5,0.11982139397008738,80,1.0,0.10859940906750723
d_cap_rand_b30,0.23964278794017477,0.5,0.11982139397008738,100,1.0,0.10992220059765771
d_cap_rand_b30,0.23964278794017477,0.5,0.11982139397008738,120,1.0,0.10909972097239375
d_cap_rand_b30,0.23964278794017477,0.5,0.11982139397008738,140,1.0,0.10925029126075088
d_cap_rand_b30,0.23964278794017477,0.5,0.11982139397008738,160,1.0,0.10946994849743526
d_cap_rand_b30,0.23964278794017477,1.0,0.23964278794017477,40,1.0,0.21922949703217914
d_cap_rand_b30,0.23964278794017477,1.0,0.23964278794017477,60,1.0,0.21698986955737085
d_cap_rand_b30,0.23964278794017477,1.0,0.23964278794017477,80,1.0,0.2187365480806601
d_cap_rand_b30,0.23964278794017477,1.0,0.23964278794017477,100,1.0,0.2183185584973136
d_cap_rand_b30,0.23964278794017477,1.0,0.23964278794017477,120,1.0,0.2184243195613222
d_cap_rand_b30,0.23964278794017477,1.0,0.23964278794017477,140,1.0,0.21770185852979942
d_cap_rand_b30,0.23964278794017477,1.0,0.23964278794017477,160,1.0,0.21882475956371833
d_cap_rand_b30,0.23964278794017477,1.5,0.35946418191026214,40,1.0,0.3273587795972656
d_cap_rand_b30,0.23964278794017477,1.5,0.35946418191026214,60,1.0,0.32655879200351035
d_cap_rand_b30,0.23964278794017477,1.5,0.35946418191026214,80,1.0,0.3285290104639184
d_cap_rand_b30,0.23964278794017477,1.5,0.35946418191026214,100,1.0,0.32751367907246676
d_cap_rand_b30,0.23964278794017477,1.5,0.35946418191026214,120,1.0,0.32780402621046173
d_cap_rand_b30,0.23964278794017477,1.5,0.35946418191026214,140,1.0,0.3283176050550746
d_cap_rand_b30,0.23964278794017477,1.5,0.35946418191026214,160,1.0,0.32649887631447594
d_ndcg_rand_b05,0.20938682744820625,0.5,0.10469341372410312,40,0.996,0.089395339055016
d_ndcg_rand_b05,0.20938682744820625,0.5,0.10469341372410312,60,1.0,0.09225569767751284
d_ndcg_rand_b05,0.20938682744820625,0.5,0.10469341372410312,80,1.0,0.08973099217724186
d_ndcg_rand_b05,0.20938682744820625,0.5,0.10469341372410312,100,1.0,0.09091020248422907
d_ndcg_rand_b05,0.20938682744820625,0.5,0.10469341372410312,120,1.0,0.09066254930971442
d_ndcg_rand_b05,0.20938682744820625,0.5,0.10469341372410312,140,1.0,0.09118840433721408
d_ndcg_rand_b05,0.20938682744820625,0.5,0.10469341372410312,160,1.0,0.09166695127889789
d_ndcg_rand_b05,0.20938682744820625,1.0,0.20938682744820625,40,1.0,0.17895443928302496
d_ndcg_rand_b05,0.20938682744820625,1.0,0.20938682744820625,60,1.0,0.18777505638805975
d_ndcg_rand_b05,0.20938682744820625,1.0,0.20938682744820625,80,1.0,0.18385025112146616
d_ndcg_rand_b05,0.20938682744820625,1.0,0.20938682744820625,100,1.0,0.18466180134939172
d_ndcg_rand_b05,0.20938682744820625,1.0,0.20938682744820625,120,1.0,0.179690621015987
d_ndcg_rand_b05,0.20938682744820625,1.0,0.20938682744820625,140,1.0,0.18186552622646263
d_ndcg_rand_b05,0.20938682744820625,1.0,0.20938682744820625,160,1.0,0.18321208417219922
d_ndcg_rand_b05,0.20938682744820625,1.5,0.31408024117230937,40,1.0,0.27475154963945775
d_ndcg_rand_b05,0.20938682744820625,1.5,0.31408024117230937,60,1.0,0.2722658505261412
d_ndcg_rand_b05,0.20938682744820625,1.5,0.31408024117230937,80,1.0,0.26892234311367447
d_ndcg_rand_b05,0.20938682744820625,1.5,0.31408024117230937,100,1.0,0.2738525368580871
d_ndcg_rand_b05,0.20938682744820625,1.5,0.31408024117230937,120,1.0,0.27639688496075654
d_ndcg_rand_b05,0.20938682744820625,1.5,0.31408024117230937,140,1.0,0.27461136607023734
d_ndcg_rand_b05,0.20938682744820625,1.5,0.31408024117230937,160,1.0,0.2731092408468014
d_ndcg_rand_b10,-0.060064422122223765,0.5,-0.030032211061111883,40,0.0,-0.044818747307337856
d_ndcg_rand_b10,-0.060064422122223765,0.5,-0.030032211061111883,60,0.004,-0.0447854160331616
d_ndcg_rand_b10,-0.060064422122223765,0.5,-0.030032211061111883,80,0.0,-0.045935538971529126
d_ndcg_rand_b10,-0.060064422122223765,0.5,-0.030032211061111883,100,0.0,-0.04410243950232758
d_ndcg_rand_b10,-0.060064422122223765,0.5,-0.030032211061111883,120,0.0,-0.046572105231552426
d_ndcg_rand_b10,-0.060064422122223765,0.5,-0.030032211061111883,140,0.0,-0.045576467068437876
d_ndcg_rand_b10,-0.060064422122223765,0.5,-0.030032211061111883,160,0.0,-0.04579707984964772
d_ndcg_rand_b10,-0.060064422122223765,1.0,-0.060064422122223765,40,0.0,-0.0898394593941999
d_ndcg_rand_b10,-0.060064422122223765,1.0,-0.060064422122223765,60,0.0,-0.09240231165547039
d_ndcg_rand_b10,-0.060064422122223765,1.0,-0.060064422122223765,80,0.0,-0.08740466495719902
d_ndcg_rand_b10,-0.060064422122223765,1.0,-0.060064422122223765,100,0.0,-0.08865114645303017
d_ndcg_rand_b10,-0.060064422122223765,1.0,-0.060064422122223765,120,0.0,-0.09206491944729872
d_ndcg_rand_b10,-0.060064422122223765,1.0,-0.060064422122223765,140,0.0,-0.09019991334286746
d_ndcg_rand_b10,-0.060064422122223765,1.0,-0.060064422122223765,160,0.0,-0.09134774016949081
d_ndcg_rand_b10,-0.060064422122223765,1.5,-0.09009663318333565,40,0.0,-0.12815475132839846
d_ndcg_rand_b10,-0.060064422122223765,1.5,-0.09009663318333565,60,0.0,-0.13475808715791293
d_ndcg_rand_b10,-0.060064422122223765,1.5,-0.09009663318333565,80,0.0,-0.1399529551945032
d_ndcg_rand_b10,-0.060064422122223765,1.5,-0.09009663318333565,100,0.0,-0.13116346644616106
d_ndcg_rand_b10,-0.060064422122223765,1.5,-0.09009663318333565,120,0.0,-0.13616948919422964
d_ndcg_rand_b10,-0.060064422122223765,1.5,-0.09009663318333565,140,0.0,-0.1329275958896294
d_ndcg_rand_b10,-0.060064422122223765,1.5,-0.09009663318333565,160,0.0,-0.13458418011264597
d_ndcg_rand_b20,-0.6658870985915623,0.5,-0.3329435492957811,40,0.0,-0.3477681925249566
d_ndcg_rand_b20,-0.6658870985915623,0.5,-0.3329435492957811,60,0.0,-0.3516824187928988
d_ndcg_rand_b20,-0.6658870985915623,0.5,-0.3329435492957811,80,0.0,-0.3486453486606793
d_ndcg_rand_b20,-0.6658870985915623,0.5,-0.3329435492957811,100,0.0,-0.34865477989845406
d_ndcg_rand_b20,-0.6658870985915623,0.5,-0.3329435492957811,120,0.0,-0.34665787128406017
d_ndcg_rand_b20,-0.6658870985915623,0.5,-0.3329435492957811,140,0.0,-0.34751288163899663
d_ndcg_rand_b20,-0.6658870985915623,0.5,-0.3329435492957811,160,0.0,-0.34919475642215847
d_ndcg_rand_b20,-0.6658870985915623,1.0,-0.6658870985915623,40,0.0,-0.6886201188333683
d_ndcg_rand_b20,-0.6658870985915623,1.0,-0.6658870985915623,60,0.0,-0.6967059685456374
d_ndcg_rand_b20,-0.6658870985915623,1.0,-0.6658870985915623,80,0.0,-0.6958823493031256
d_ndcg_rand_b20,-0.6658870985915623,1.0,-0.6658870985915623,100,0.0,-0.6973022654895681
d_ndcg_rand_b20,-0.6658870985915623,1.0,-0.6658870985915623,120,0.0,-0.6933315908645374
d_ndcg_rand_b20,-0.6658870985915623,1.0,-0.6658870985915623,140,0.0,-0.6966721879848145
d_ndcg_rand_b20,-0.6658870985915623,1.0,-0.6658870985915623,160,0.0,-0.6988630660421803
d_ndcg_rand_b20,-0.6658870985915623,1.5,-0.9988306478873434,40,0.0,-1.0465466150523284
