mechanism,network_id,station_id,gap_length,trial_mean_mae_deg_c,n_trial_placements,network_trial_mean_mae_deg_c
a_uniform_block,lubw_neckar,CYY003,7,0.4143468164262318,12,0.7310227948647958
a_uniform_block,lubw_neckar,CYY003,14,0.534244920526232,12,0.7310227948647958
a_uniform_block,lubw_neckar,CYY003,30,0.8277226530181037,12,0.7310227948647958
a_uniform_block,lubw_neckar,CYY003,60,0.8131470317310758,12,0.7310227948647958
a_uniform_block,lubw_neckar,CYY003,90,1.065652552622336,12,0.7310227948647958
a_uniform_block,lubw_neckar,CYY003,180,,0,0.7310227948647958
a_uniform_block,lubw_neckar,CYY003,365,,0,0.7310227948647958
a_uniform_block,lubw_neckar,CYY176,7,0.4226751157215664,12,0.7599256734456966
a_uniform_block,lubw_neckar,CYY176,14,0.6100368567875455,12,0.7599256734456966
a_uniform_block,lubw_neckar,CYY176,30,0.9391314318444994,12,0.7599256734456966
a_uniform_block,lubw_neckar,CYY176,60,0.8601241746213701,12,0.7599256734456966
a_uniform_block,lubw_neckar,CYY176,90,0.9676607882535017,12,0.7599256734456966
a_uniform_block,lubw_neckar,CYY176,180,,0,0.7599256734456966
a_uniform_block,lubw_neckar,CYY176,365,,0,0.7599256734456966
a_uniform_block,lubw_neckar,CYY208,7,0.5428080479303996,12,0.9309327822892123
a_uniform_block,lubw_neckar,CYY208,14,0.7505303257987612,12,0.9309327822892123
a_uniform_block,lubw_neckar,CYY208,30,1.0723320558336047,12,0.9309327822892123
a_uniform_block,lubw_neckar,CYY208,60,1.0799556504355536,12,0.9309327822892123
a_uniform_block,lubw_neckar,CYY208,90,1.2090378314477428,12,0.9309327822892123
a_uniform_block,lubw_neckar,CYY208,180,,0,0.9309327822892123
a_uniform_block,lubw_neckar,CYY208,365,,0,0.9309327822892123
a_uniform_block,lubw_neckar,CYY031,7,0.3860543602988833,12,0.6449444189147343
a_uniform_block,lubw_neckar,CYY031,14,0.42296165341422665,12,0.6449444189147343
a_uniform_block,lubw_neckar,CYY031,30,0.7585336070590549,12,0.6449444189147343
a_uniform_block,lubw_neckar,CYY031,60,0.7101946258544922,12,0.6449444189147343
a_uniform_block,lubw_neckar,CYY031,90,0.9469778479470149,12,0.6449444189147343
a_uniform_block,lubw_neckar,CYY031,180,,0,0.6449444189147343
a_uniform_block,lubw_neckar,CYY031,365,,0,0.6449444189147343
a_uniform_block,lubw_neckar,CYY172,7,0.30295034363156287,12,0.5168174755838183
a_uniform_block,lubw_neckar,CYY172,14,0.39978759969983785,12,0.5168174755838183
a_uniform_block,lubw_neckar,CYY172,30,0.6518479802873399,12,0.5168174755838183
a_uniform_block,lubw_neckar,CYY172,60,0.6029169514444139,12,0.5168174755838183
a_uniform_block,lubw_neckar,CYY172,90,0.6265845028559367,12,0.5168174755838183
a_uniform_block,lubw_neckar,CYY172,180,,0,0.5168174755838183
a_uniform_block,lubw_neckar,CYY172,365,,0,0.5168174755838183
a_uniform_block,lubw_neckar,CYY094,7,0.5097338892164686,12,0.8221549069490381
a_uniform_block,lubw_neckar,CYY094,14,0.5156844019889831,12,0.8221549069490381
a_uniform_block,lubw_neckar,CYY094,30,1.0407730654875438,12,0.8221549069490381
a_uniform_block,lubw_neckar,CYY094,60,0.8803580054971906,12,0.8221549069490381
a_uniform_block,lubw_neckar,CYY094,90,1.164225172555005,12,0.8221549069490381
a_uniform_block,lubw_neckar,CYY094,180,,0,0.8221549069490381
a_uniform_block,lubw_neckar,CYY094,365,,0,0.8221549069490381
a_uniform_block,lubw_neckar,CYY072,7,0.32340403624943326,12,0.5771581789866959
a_uniform_block,lubw_neckar,CYY072,14,0.5020426352818808,12,0.5771581789866959
a_uniform_block,lubw_neckar,CYY072,30,0.8517768752574922,12,0.5771581789866959
a_uniform_block,lubw_neckar,CYY072,60,0.5872173341115317,12,0.5771581789866959
a_uniform_block,lubw_neckar,CYY072,90,0.6213500140331409,12,0.5771581789866959
a_uniform_block,lubw_neckar,CYY072,180,,0,0.5771581789866959
a_uniform_block,lubw_neckar,CYY072,365,,0,0.5771581789866959
a_uniform_block,foen_aare_aaregebiet,2016,7,0.17945985453469415,12,1.117177842870021
a_uniform_block,foen_aare_aaregebiet,2016,14,0.25213595889863505,12,1.117177842870021
a_uniform_block,foen_aare_aaregebiet,2016,30,0.3848846912913853,12,1.117177842870021
a_uniform_block,foen_aare_aaregebiet,2016,60,0.5405368345048692,12,1.117177842870021
a_uniform_block,foen_aare_aaregebiet,2016,90,0.707450738730254,12,1.117177842870021
a_uniform_block,foen_aare_aaregebiet,2016,180,1.7225183125248658,12,1.117177842870021
a_uniform_block,foen_aare_aaregebiet,2016,365,4.033258509605443,12,1.117177842870021
a_uniform_block,foen_aare_aaregebiet,2019,7,0.3933396401859465,12,0.8052978369729402
a_uniform_block,foen_aare_aaregebiet,2019,14,0.4365925333045777,12,0.8052978369729402
a_uniform_block,foen_aare_aaregebiet,2019,30,0.49102262396282614,12,0.8052978369729402
a_uniform_block,foen_aare_aaregebiet,2019,60,0.5990876861148411,12,0.8052978369729402
a_uniform_block,foen_aare_aaregebiet,2019,90,0.7017200650109184,12,0.8052978369729402
a_uniform_block,foen_aare_aaregebiet,2019,180,1.0601052992652964,12,0.8052978369729402
a_uniform_block,foen_aare_aaregebiet,2019,365,1.9552170109661742,12,0.8052978369729402
a_uniform_block,foen_aare_aaregebiet,2029,7,0.33708069824037107,12,1.7411428593228346
a_uniform_block,foen_aare_aaregebiet,2029,14,0.500112986678169,12,1.7411428593228346
a_uniform_block,foen_aare_aaregebiet,2029,30,0.6119819957415263,12,1.7411428593228346
a_uniform_block,foen_aare_aaregebiet,2029,60,0.867550146738688,12,1.7411428593228346
a_uniform_block,foen_aare_aaregebiet,2029,90,1.178208570215437,12,1.7411428593228346
a_uniform_block,foen_aare_aaregebiet,2029,180,2.850079334055936,12,1.7411428593228346
a_uniform_block,foen_aare_aaregebiet,2029,365,5.842986283589717,12,1.7411428593228346
a_uniform_block,foen_aare_aaregebiet,2030,7,0.19862813268389015,12,0.7524131332091729
a_uniform_block,foen_aare_aaregebiet,2030,14,0.20820706503731864,12,0.7524131332091729
a_uniform_block,foen_aare_aaregebiet,2030,30,0.26583593479792283,12,0.7524131332091729
a_uniform_block,foen_aare_aaregebiet,2030,60,0.5255327255196042,12,0.7524131332091729
a_uniform_block,foen_aare_aaregebiet,2030,90,0.4767298783549556,12,0.7524131332091729
a_uniform_block,foen_aare_aaregebiet,2030,180,1.323286561400802,12,0.7524131332091729
a_uniform_block,foen_aare_aaregebiet,2030,365,2.268671634669717,12,0.7524131332091729
a_uniform_block,foen_aare_aaregebiet,2085,7,0.43295494965144554,12,1.6265243256409019
a_uniform_block,foen_aare_aaregebiet,2085,14,0.5171178508940196,12,1.6265243256409019
a_uniform_block,foen_aare_aaregebiet,2085,30,0.7194531155162388,12,1.6265243256409019
a_uniform_block,foen_aare_aaregebiet,2085,60,1.0289630315303804,12,1.6265243256409019
a_uniform_block,foen_aare_aaregebiet,2085,90,1.0188030047946506,12,1.6265243256409019
a_uniform_block,foen_aare_aaregebiet,2085,180,2.5625797500522047,12,1.6265243256409019
a_uniform_block,foen_aare_aaregebiet,2085,365,5.105798577047374,12,1.6265243256409019
a_uniform_block,foen_aare_aaregebiet,2113,7,0.3716164695648921,12,1.264386970582871
a_uniform_block,foen_aare_aaregebiet,2113,14,0.46219578572681974,12,1.264386970582871
a_uniform_block,foen_aare_aaregebiet,2113,30,0.5002635324796041,12,1.264386970582871
a_uniform_block,foen_aare_aaregebiet,2113,60,0.7275311728053623,12,1.264386970582871
a_uniform_block,foen_aare_aaregebiet,2113,90,0.8023677725438717,12,1.264386970582871
a_uniform_block,foen_aare_aaregebiet,2113,180,1.866887285656399,12,1.264386970582871
a_uniform_block,foen_aare_aaregebiet,2113,365,4.119846775303148,12,1.264386970582871
a_uniform_block,foen_aare_aaregebiet,2135,7,0.18608802749997091,12,0.656524261615734
a_uniform_block,foen_aare_aaregebiet,2135,14,0.23718797286351523,12,0.656524261615734
a_uniform_block,foen_aare_aaregebiet,2135,30,0.3022845683627658,12,0.656524261615734
a_uniform_block,foen_aare_aaregebiet,2135,60,0.4052533730930752,12,0.656524261615734
a_uniform_block,foen_aare_aaregebiet,2135,90,0.3756609031889173,12,0.656524261615734
a_uniform_block,foen_aare_aaregebiet,2135,180,0.9570432530950619,12,0.656524261615734
a_uniform_block,foen_aare_aaregebiet,2135,365,2.132151733206832,12,0.656524261615734
a_uniform_block,foen_aare_aaregebiet,2205,7,0.15860143434433713,12,0.809799177468484
a_uniform_block,foen_aare_aaregebiet,2205,14,0.21880647409529907,12,0.809799177468484
a_uniform_block,foen_aare_aaregebiet,2205,30,0.2857896231015523,12,0.809799177468484
a_uniform_block,foen_aare_aaregebiet,2205,60,0.40378516242239204,12,0.809799177468484
a_uniform_block,foen_aare_aaregebiet,2205,90,0.4964995627403259,12,0.809799177468484
a_uniform_block,foen_aare_aaregebiet,2205,180,1.2184488534000184,12,0.809799177468484
a_uniform_block,foen_aare_aaregebiet,2205,365,2.8866631321754626,12,0.809799177468484
a_uniform_block,foen_aare_aaregebiet,2457,7,0.3967928575334094,12,1.0643455921071767
a_uniform_block,foen_aare_aaregebiet,2457,14,0.4551252762476603,12,1.0643455921071767
a_uniform_block,foen_aare_aaregebiet,2457,30,0.48912849823633825,12,1.0643455921071767
a_uniform_block,foen_aare_aaregebiet,2457,60,0.681588561269972,12,1.0643455921071767
a_uniform_block,foen_aare_aaregebiet,2457,90,0.7887044973726626,12,1.0643455921071767
a_uniform_block,foen_aare_aaregebiet,2457,180,1.4644414068239706,12,1.0643455921071767
a_uniform_block,foen_aare_aaregebiet,2457,365,3.1746380472662246,12,1.0643455921071767
a_uniform_block,huc8_17090001,14150000,7,0.16931712400345578,12,0.6217157317322187
a_uniform_block,huc8_17090001,14150000,14,0.2335411088807242,12,0.6217157317322187
a_uniform_block,huc8_17090001,14150000,30,0.26647400167253277,12,0.6217157317322187
a_uniform_block,huc8_17090001,14150000,60,0.4144551889101664,12,0.6217157317322187
a_uniform_block,huc8_17090001,14150000,90,0.836785166086974,12,0.6217157317322187
a_uniform_block,huc8_17090001,14150000,180,1.8097218008394593,12,0.6217157317322187
a_uniform_block,huc8_17090001,14150000,365,,0,0.6217157317322187
a_uniform_block,huc8_17090001,14152000,7,0.34330319904145745,12,0.7203674501811386
a_uniform_block,huc8_17090001,14152000,14,0.4180988731838408,12,0.7203674501811386
a_uniform_block,huc8_17090001,14152000,30,0.3861566628350152,12,0.7203674501811386
a_uniform_block,huc8_17090001,14152000,60,0.7385170679622227,12,0.7203674501811386
a_uniform_block,huc8_17090001,14152000,90,0.8244204234193871,12,0.7203674501811386
a_uniform_block,huc8_17090001,14152000,180,1.6117084746449082,12,0.7203674501811386
a_uniform_block,huc8_17090001,14152000,365,,0,0.7203674501811386
a_uniform_block,huc8_17090001,14151000,7,0.592800920350211,12,1.4401876974689267
a_uniform_block,huc8_17090001,14151000,14,0.7618167630263737,12,1.4401876974689267
a_uniform_block,huc8_17090001,14151000,30,0.8416652109887864,12,1.4401876974689267
a_uniform_block,huc8_17090001,14151000,60,2.0024167725774977,12,1.4401876974689267
a_uniform_block,huc8_17090001,14151000,90,1.9556906035211352,12,1.4401876974689267
a_uniform_block,huc8_17090001,14151000,180,2.486735914349556,12,1.4401876974689267
a_uniform_block,huc8_17090001,14151000,365,,0,1.4401876974689267
a_uniform_block,huc8_17090001,14145500,7,0.21145154521578835,12,0.7054785814140209
a_uniform_block,huc8_17090001,14145500,14,0.2783138070787703,12,0.7054785814140209
a_uniform_block,huc8_17090001,14145500,30,0.4343490023083157,12,0.7054785814140209
a_uniform_block,huc8_17090001,14145500,60,0.6338670198122661,12,0.7054785814140209
a_uniform_block,huc8_17090001,14145500,90,0.9018696407918578,12,0.7054785814140209
a_uniform_block,huc8_17090001,14145500,180,1.7730204732771273,12,0.7054785814140209
a_uniform_block,huc8_17090001,14145500,365,,0,0.7054785814140209
a_uniform_block,huc8_17090001,14148000,7,0.5091596103849865,12,0.7765798539412084
a_uniform_block,huc8_17090001,14148000,14,0.4567475673698244,12,0.7765798539412084
a_uniform_block,huc8_17090001,14148000,30,0.5239736755688985,12,0.7765798539412084
a_uniform_block,huc8_17090001,14148000,60,0.5999273341231876,12,0.7765798539412084
a_uniform_block,huc8_17090001,14148000,90,0.7764082174830965,12,0.7765798539412084
a_uniform_block,huc8_17090001,14148000,180,1.793262718717257,12,0.7765798539412084
a_uniform_block,huc8_17090001,14148000,365,,0,0.7765798539412084
a_uniform_block,huc8_17090001,14150800,7,0.6368896507081532,12,1.0608303019562422
