site_id,name,river,water_body_type,latitude,longitude,source,historical_daily_public,note
2044,Andelfingen,Thur,river,47.5965,8.682,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2053,"Martigny, Pont de Rossettan",Drance,river,46.0977,7.0627,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2056,Seedorf,Reuss,river,46.8839,8.6206,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2057,Les Brenets,Lac des Brenets,lake,47.0826,6.7086,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2063,Murgenthal,Aare,river,47.2661,7.8288,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2066,St. Moritz,St. Moritzersee,lake,46.4975,9.8481,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2067,Martina,Inn,river,46.8858,10.4654,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2068,Riazzino,Ticino,river,46.1634,8.9103,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2070,Emmenmatt,Emme,river,46.9544,7.7488,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2071,Emmenmatt (N),Emme,river,46.9536,7.7516,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2072,Sils Baselgia,Silsersee,lake,46.4344,9.7532,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2073,Silvaplana,Silvaplanersee,lake,46.4601,9.8024,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2074,Brissago,Lago Maggiore,lake,46.1181,8.7109,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2078,Le Prese,Poschiavino,river,46.2954,10.08,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2079,Le Prese,Canale industriale,river,46.2947,10.0795,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2081,Pfäffikon,Pfäffikersee,lake,47.364,8.7786,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2082,Greifensee,Greifensee,lake,47.3652,8.6735,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2084,Ingenbohl,Muota,river,47.0004,8.5987,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2085,Hagneck,Aare,river,47.0556,7.1844,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2086,Loderio,Brenno,river,46.3765,8.9694,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
2087,Andermatt,Reuss,river,46.6423,8.5896,existenz_foen_locations,False,"Location list only. Daily history is ordered from FOEN, not downloaded here."
