Locatie_MessageID,Code,Coordinatenstelsel,Lat,Lon,Naam,Omschrijving
5683,hedel.recreatieplas,ETRS89,51.738948,5.25835,"Hedel, recreatieplas","Hedel, recreatieplas"
767,heel.lateraalkanaallinnebuggenum.innamewerk,ETRS89,51.187568,5.92716,"Heel, Lateraal Kanaal Linne-Buggenum, innamewerk","Heel, Lateraal Kanaal Linne-Buggenum, innamewerk"
18611,heerewaarden.kampeerterrein,ETRS89,51.814071,5.395178,"Heerewaarden, kampeerterrein",recreatieplas
11030,heerewaarden.ontzanding,ETRS89,51.79924,5.37488,"Heerewaarden, ontzanding",recreatieplas
6682,heesbeen,ETRS89,51.735848,5.124738,Heesbeen,Heesbeen
4089,heeswijksekampen,ETRS89,51.74776,5.849381,Heeswijkse Kampen,Heeswijkse Kampen
15588,heinenoord,ETRS89,51.831949,4.455795,Heinenoord,kilometer 993.5
468,hellegat,ETRS89,51.697203,4.390006,Hellegat,Hellegat
18230,hellevloetsluis.hellecat.badstrand,ETRS89,51.841339,4.07616,"Hellevloetsluis, Hellecat, badstrand","Hellevloetsluis, Hellecat, badstrand"
12491,hellevoetsluis,ETRS89,51.819724,4.128239,Hellevoetsluis,Hellevoetsluis
17673,hellevoetsluis.schenkeldijk.badstrand,ETRS89,51.829859,4.093135,"Hellevoetsluis, Schenkeldijk, badstrand","Hellevoetsluis, Schenkeldijk, badstrand"
