site_id,file_name,file_number,metadata_start_year,metadata_end_year,temporal_resolution,station_name,river_name,catchment_area_km2
201129,WT-Monatsmittel-201129.csv,5,1976,2023,monthly_mean,Scharnitz (Karwendelbrücke),Karwendelbach,"48,1"
201095,WT-Monatsmittel-201095.csv,8,1979,2023,monthly_mean,Scharnitz (Weidach),Isar,"203,6"
202176,WT-Monatsmittel-202176.csv,5,2008,2023,monthly_mean,Seefeld (Seepegel),Wildsee,"6,9"
201145,WT-Monatsmittel-201145.csv,5,1910,2023,monthly_mean,Pertisau (Seepegel),Achensee,"105,5"
202507,WT-Monatsmittel-202507.csv,5,1998,2023,monthly_mean,Biberwier (Seepegel),Blindsee,6
201160,WT-Monatsmittel-201160.csv,8,2008,2023,monthly_mean,Schalklhof,Schalklbach,"107,8"
201178,WT-Monatsmittel-201178.csv,5,1997,2023,monthly_mean,Kajetansbrücke,Inn,2162
202119,WT-Monatsmittel-202119.csv,2,1986,2023,monthly_mean,Platz-Loch,Fagge,"191,5"
201251,WT-Monatsmittel-201251.csv,8,2012,2023,monthly_mean,St. Anton am Arlberg-Moos,Rosanna,"130,6"
202036,WT-Monatsmittel-202036.csv,8,2011,2023,monthly_mean,Landeck-Bruggen,Sanna,727
202101,WT-Monatsmittel-202101.csv,8,2012,2023,monthly_mean,Nassereith (Wiesenmühle),Gurglbach,"78,3"
201335,WT-Monatsmittel-201335.csv,8,2013,2023,monthly_mean,St. Leonhard im Pitztal,Pitze,"165,4"
201350,WT-Monatsmittel-201350.csv,8,1999,2023,monthly_mean,Vent (oberh. Niedertalbach),Rofenache,"98,1"
201392,WT-Monatsmittel-201392.csv,8,2003,2023,monthly_mean,Huben,Ötztaler Ache,"517,2"
201434,WT-Monatsmittel-201434.csv,8,1977,2023,monthly_mean,Tumpen,Ötztaler Ache,"785,5"
201459,WT-Monatsmittel-201459.csv,8,1976,2023,monthly_mean,Magerbach,Inn,"5118,8"
230706,WT-Monatsmittel-230706.csv,5,2009,2023,monthly_mean,In der Au,Melach,"204,7"
201525,WT-Monatsmittel-201525.csv,8,1976,2023,monthly_mean,Innsbruck (oberh. Sill),Inn,"5771,6"
202200,WT-Monatsmittel-202200.csv,5,2006,2023,monthly_mean,Gries am Brenner (Seepegel),Brennersee,"18,3"
202275,WT-Monatsmittel-202275.csv,8,2008,2023,monthly_mean,Lueg,Sill,"22,2"
201558,WT-Monatsmittel-201558.csv,8,1978,2023,monthly_mean,St. Jodok am Brenner,Valser Bach,"108,8"
201574,WT-Monatsmittel-201574.csv,8,1996,2023,monthly_mean,Puig,Sill,"341,8"
202283,WT-Monatsmittel-202283.csv,8,1996,2023,monthly_mean,Krössbach,Ruetz,"127,5"
201624,WT-Monatsmittel-201624.csv,8,1977,2023,monthly_mean,Innsbruck-Reichenau,Sill,"854,4"
201665,WT-Monatsmittel-201665.csv,8,2012,2023,monthly_mean,Weer,Weerbach,"72,8"
201681,WT-Monatsmittel-201681.csv,8,1976,2023,monthly_mean,Jenbach-Rotholz,Inn,"7230,7"
201749,WT-Monatsmittel-201749.csv,8,1979,2023,monthly_mean,Mayrhofen,Ziller,"610,9"
201756,WT-Monatsmittel-201756.csv,8,1998,2023,monthly_mean,Zell am Ziller-Zellbergeben,Ziller,"696,3"
201780,WT-Monatsmittel-201780.csv,8,1998,2023,monthly_mean,Hart im Zillertal,Ziller,"1094,7"
201814,WT-Monatsmittel-201814.csv,5,1997,2023,monthly_mean,Rattenberg,Inn,"8508,7"
201863,WT-Monatsmittel-201863.csv,8,2006,2023,monthly_mean,Bruckhäusl,Brixentaler Ache,"322,3"
201897,WT-Monatsmittel-201897.csv,8,1977,2023,monthly_mean,Kaiserwerk,Weißache,94
201905,WT-Monatsmittel-201905.csv,5,1976,2023,monthly_mean,Kufstein (Bahnhofsbrücke),Inn,"9502,7"
202242,WT-Monatsmittel-202242.csv,5,2005,2023,monthly_mean,Thiersee (Seepegel),Thiersee,6
201830,WT-Monatsmittel-201830.csv,8,1999,2023,monthly_mean,Rettenschöß,Walchentaler Bach,"3,9"
202556,WT-Monatsmittel-202556.csv,5,2005,2023,monthly_mean,Kitzbühel (Seepegel),Schwarzsee,"1,8"
201939,WT-Monatsmittel-201939.csv,8,1996,2023,monthly_mean,St. Johann in Tirol,Kitzbüheler Ache,"332,4"
201947,WT-Monatsmittel-201947.csv,8,1999,2023,monthly_mean,Almdorf,Fieberbrunner Ache,"165,9"
202382,WT-Monatsmittel-202382.csv,8,1998,2023,monthly_mean,Kössen-Hütte,Großache,"701,4"
202549,WT-Monatsmittel-202549.csv,8,2012,2023,monthly_mean,Schwendt-Unterbichl,Kohlenbach,"47,9"
204107,WT-Monatsmittel-204107.csv,2,2002,2023,monthly_mean,Krimml,Krimmler Ache,"110,7"
203026,WT-Monatsmittel-203026.csv,8,1990,2023,monthly_mean,Wald,Salzach,"206,8"
203075,WT-Monatsmittel-203075.csv,8,1976,2023,monthly_mean,Mittersill,Salzach,"582,6"
203117,WT-Monatsmittel-203117.csv,5,1976,2023,monthly_mean,Zell am See (Seepegel),Zeller See,"53,3"
203208,WT-Monatsmittel-203208.csv,8,1976,2023,monthly_mean,Bad Hofgastein,Gasteiner Ache,"220,7"
203224,WT-Monatsmittel-203224.csv,8,2009,2023,monthly_mean,Großarl,Großarlbach,"144,6"
204099,WT-Monatsmittel-204099.csv,5,2003,2023,monthly_mean,Tenneck,Blühnbach,"71,7"
203265,WT-Monatsmittel-203265.csv,8,2002,2023,monthly_mean,Schwaighofbrücke,Lammer,"171,7"
203307,WT-Monatsmittel-203307.csv,8,1976,2023,monthly_mean,Obergäu,Lammer,"394,5"
203323,WT-Monatsmittel-203323.csv,8,1976,2023,monthly_mean,Golling,Salzach,"3555,7"
203380,WT-Monatsmittel-203380.csv,2,2009,2023,monthly_mean,Salzburg (Staatsbrücke),Salzach,"4402,2"
