history_level,dataset,network_id,history_years,score_years,stress_curve_cells,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_supported_fraction
6,first_panel,lubw_rhein,6,21,440,240,1,0.5737190861392913,,0.06108038077792817,0.8341982131476009,0.24660582190874236,0.42717944863098634,0.42857142857142855
8,first_panel,lubw_rhein,8,19,660,240,1,0.5729196957380139,,0.024581279995983536,0.8964866220230623,0.2575504091290619,0.42406527087998225,0.42857142857142855
2,first_panel,foen_aare_aaregebiet,2,17,2880,720,1,0.8425681317640802,,-0.05230412591133292,1.1023133249024808,0.7117219117376119,0.45998717456555466,0.5714285714285714
4,first_panel,foen_aare_aaregebiet,4,15,2880,720,1,0.8517567380520158,,-0.028579862559294338,0.9861976935080248,0.7370535894749684,0.4393124684151047,0.5714285714285714
6,first_panel,foen_aare_aaregebiet,6,13,2880,720,1,0.8629796120189449,,-0.01646540287854031,0.9562116696558735,0.7383067547801552,0.43826436768515065,0.5714285714285714
8,first_panel,foen_aare_aaregebiet,8,11,2880,720,1,0.854740525698194,,-0.02259580623381002,0.94859126206404,0.7308866119468003,0.44443428880714114,0.5714285714285714
2,first_panel,huc8_02040101,2,17,1600,480,1,0.721138474060135,,-0.15131754817939616,0.9552973756745853,0.5003193559853523,0.6589059831143059,0.5714285714285714
4,first_panel,huc8_02040101,4,15,1600,480,1,0.7222074823059831,,-0.10588581624244048,0.9331749505826938,0.5612466754056025,0.6174295316659825,0.5714285714285714
6,first_panel,huc8_02040101,6,13,1600,480,1,0.733102032940623,,-0.12373983335096422,0.9495055461948838,0.5766900387303895,0.606465963319776,0.5714285714285714
8,first_panel,huc8_02040101,8,11,1920,480,1,0.7658890866573882,,-0.024468110221133734,0.8869719103868668,0.6268622343854984,0.5693925639301196,0.5714285714285714
2,first_panel,huc8_02040102,2,17,960,240,1,0.7412855241013653,,-0.33968118664273667,1.6550095432916965,0.4662774230007076,0.6910600636379216,0.5714285714285714
4,first_panel,huc8_02040102,4,15,960,240,1,0.7270443103350654,,0.06239311910075048,1.0337125235572076,0.6347268121211076,0.5716983070055841,0.5714285714285714
6,first_panel,huc8_02040102,6,13,960,240,1,0.7338987790547271,,0.044973516315757966,0.944205541307803,0.6787468044285553,0.536144353948666,0.5714285714285714
8,first_panel,huc8_02040102,8,11,960,240,1,0.7390765339287254,,0.09309177458769789,0.8650804404637218,0.6775406855799802,0.5371498661182863,0.5714285714285714
2,first_panel,huc8_02040104,2,17,720,480,1,0.7099009453525146,,0.24990609392037907,0.7300485426991788,0.379341403310687,0.9681657536250587,0.5714285714285714
4,first_panel,huc8_02040104,4,15,720,480,1,0.7090240173501539,,0.31566051677619456,0.698121343946046,0.3387758628276387,0.9993041206600324,0.5714285714285714
6,first_panel,huc8_02040104,6,13,720,480,1,0.7094120925824073,,0.432011696646296,0.5481736794785983,0.04686512711746249,1.1997769353677932,0.5714285714285714
8,first_panel,huc8_02040104,8,11,720,480,1,0.6893660784447052,,0.4763980106399608,0.5264288726976422,-0.005622241900689273,1.232368996938083,0.5714285714285714
2,first_panel,huc8_03010107,2,17,960,240,1,0.8437794587267365,,-0.07793545576620776,1.2949949493355144,0.6144299734309167,0.8477829024591725,0.5714285714285714
4,first_panel,huc8_03010107,4,15,960,240,1,0.8629160758086359,,0.033182717537344836,1.0861582317843095,0.6900904524650993,0.7600645882802993,0.5714285714285714
6,first_panel,huc8_03010107,6,13,960,240,1,0.8652257723210846,,0.08881410741925806,1.0635768332910525,0.7017162153327654,0.7456720134868913,0.5714285714285714
8,first_panel,huc8_03010107,8,11,960,240,1,0.860533441511584,,0.044872051757529285,1.0501421474883572,0.7071575188516996,0.7388394221425386,0.5714285714285714
2,first_panel,huc8_03150202,2,17,960,240,1,0.5308182262027566,,0.04373030796429684,0.8661211641364182,0.2839396799260512,0.3356881737198799,0.6
4,first_panel,huc8_03150202,4,15,960,240,1,0.534741713060408,,0.13758339881970486,0.7455450019726452,0.23708912805602467,0.34649593116422284,0.6
6,first_panel,huc8_03150202,6,13,960,240,1,0.5238758703875239,,0.15963335327816144,0.7224670701695712,0.2253665919039215,0.34914783126501664,0.6
8,first_panel,huc8_03150202,8,11,960,240,1,0.5455319536609521,,0.1631052239996432,0.687800935482482,0.15398361550430684,0.3648804746362906,0.6
2,first_panel,huc8_05030103,2,17,320,720,1,0.7682276620370967,,-0.4119300330568298,0.9187058803968476,0.4837978510919385,1.1815399550885526,0.6666666666666666
4,first_panel,huc8_05030103,4,15,320,720,1,0.7695994867554081,,-0.355408327265642,0.8870480943197986,0.4703010962291406,1.1968867118936217,0.6666666666666666
6,first_panel,huc8_05030103,6,13,320,720,1,0.7695994867554081,,-0.355408327265642,0.8870480943197986,0.4703010962291406,1.1968867118936217,0.6666666666666666
8,first_panel,huc8_05030103,8,11,320,720,1,0.7698582533661436,,-0.3425312662243927,0.8722743557862204,0.45580181775758766,1.2131571207419036,0.6666666666666666
2,first_panel,huc8_10020007,2,17,600,480,1,0.4695629108166026,,0.2297153392209582,0.527208096731593,-0.35948564170012665,0.50377648543757,0.6
4,first_panel,huc8_10020007,4,15,1200,480,1,0.45539895818783044,,0.06181393508008666,0.7800135539215096,0.1216256474635492,0.4049397430108514,0.6
6,first_panel,huc8_10020007,6,13,1500,480,1,0.5301962663524904,,0.0061724751784932325,0.8243860266009966,0.1367637054820392,0.4014351764461316,0.6
8,first_panel,huc8_10020007,8,11,1800,480,1,0.5507112408072331,,0.08653297576324755,0.8194008323723924,0.28552325305803583,0.36521165539425404,0.6
2,first_panel,huc8_17060306,2,17,640,240,1,0.7626391992026407,,-0.029843310393934123,0.8271441314358415,0.5016542187098751,0.845592470142668,0.5714285714285714
4,first_panel,huc8_17060306,4,15,960,240,1,0.8302696218778371,,-0.0678964510459148,1.0304361699327684,0.685304300570539,0.6719564359275696,0.5714285714285714
6,first_panel,huc8_17060306,6,13,960,240,1,0.8145291891420712,,0.036614469783420756,0.9399619137685385,0.669069280759033,0.6890714487055212,0.5714285714285714
8,first_panel,huc8_17060306,8,11,960,240,1,0.8221970930194734,,0.03254611099647426,0.948324515883196,0.6756264022107724,0.6822105996429907,0.5714285714285714
2,first_panel,huc8_17090001,2,17,320,800,1,0.7355240206919297,,-0.350864823170775,1.3614734493901164,0.4106638234508594,0.5799755300546428,0.6666666666666666
4,first_panel,huc8_17090001,4,15,960,800,1,0.7473594487606586,,-0.11052058062396755,0.9894377902119186,0.5138206586970113,0.5267764731947537,0.6666666666666666
6,first_panel,huc8_17090001,6,13,960,800,1,0.7552887314205211,,-0.06506935712076678,0.9331497531172561,0.5201497469068009,0.5233364498861013,0.6666666666666666
8,first_panel,huc8_17090001,8,11,960,800,1,0.7545880978969428,,-0.04743219262610014,0.9208410568495677,0.521842061956398,0.5224127946493179,0.6666666666666666
