date,t2m_deg_c
2014-08-24,12.3
2014-08-25,12.82
2014-08-26,12.14
2014-08-27,12.74
2014-08-28,14.3
2014-08-29,15.44
2014-08-30,17.39
2014-08-31,14.69
2014-09-01,13.37
2014-09-02,12.86
2014-09-03,14.49
2014-09-04,16.85
2014-09-05,18.3
2014-09-06,19.14
2014-09-07,18.92
2014-09-08,18.81
2014-09-09,15.91
2014-09-10,13.37
2014-09-11,12.33
2014-09-12,14.91
2014-09-13,15.61
2014-09-14,15.76
2014-09-15,16.81
2014-09-16,16.93
2014-09-17,16.15
2014-09-18,15.06
2014-09-19,15.82
2014-09-20,17.26
2014-09-21,15.25
2014-09-22,10.24
2014-09-23,8.63
2014-09-24,8.87
2014-09-25,10.33
2014-09-26,11.15
2014-09-27,13.28
2014-09-28,11.99
2014-09-29,12.44
2014-09-30,14.98
2014-10-01,14.35
2014-10-02,12.98
2014-10-03,11.87
2014-10-04,10.44
2014-10-05,11.33
2014-10-06,11.19
2014-10-07,11.25
2014-10-08,12.16
2014-10-09,13.67
2014-10-10,13.6
2014-10-11,14.13
2014-10-12,13.75
2014-10-13,14.18
2014-10-14,13.39
2014-10-15,10.53
2014-10-16,11.9
2014-10-17,11.62
2014-10-18,11.55
2014-10-19,11.21
2014-10-20,12.79
2014-10-21,10.45
2014-10-22,6.29
2014-10-23,7.43
2014-10-24,4.43
2014-10-25,3.41
2014-10-26,5.04
2014-10-27,3.82
2014-10-28,3.04
2014-10-29,2.08
2014-10-30,5.51
2014-10-31,7.72
2014-11-01,8.85
2014-11-02,7.98
2014-11-03,5.95
2014-11-04,7.36
2014-11-05,10.36
2014-11-06,8.42
2014-11-07,7.65
2014-11-08,6.46
2014-11-09,6.82
2014-11-10,8.14
2014-11-11,9.16
2014-11-12,9.97
2014-11-13,9.04
2014-11-14,8.44
2014-11-15,8.97
2014-11-16,7.47
2014-11-17,6.36
2014-11-18,5.64
2014-11-19,3.59
2014-11-20,2.26
2014-11-21,2.0
2014-11-22,0.68
2014-11-23,1.57
2014-11-24,1.6
2014-11-25,1.97
2014-11-26,-0.01
2014-11-27,0.1
2014-11-28,-0.52
2014-11-29,-0.68
2014-11-30,-0.54
2014-12-01,-2.18
2014-12-02,-1.98
2014-12-03,-0.32
2014-12-04,1.81
2014-12-05,1.92
2014-12-06,1.59
2014-12-07,0.31
2014-12-08,-0.62
2014-12-09,-1.46
2014-12-10,-2.97
2014-12-11,0.4
2014-12-12,2.0
2014-12-13,2.52
2014-12-14,2.32
2014-12-15,3.08
2014-12-16,1.21
2014-12-17,0.48
2014-12-18,4.46
2014-12-19,7.75
2014-12-20,2.25
2014-12-21,2.12
2014-12-22,4.58
2014-12-23,6.14
2014-12-24,3.59
2014-12-25,1.71
2014-12-26,-2.4
2014-12-27,-4.38
2014-12-28,-7.55
2014-12-29,-6.22
2014-12-30,-6.2
2014-12-31,-2.3
2015-01-01,0.24
2015-01-02,-0.16
2015-01-03,-0.47
2015-01-04,-0.05
2015-01-05,-0.17
2015-01-06,-4.58
2015-01-07,-4.21
2015-01-08,-0.69
2015-01-09,2.23
2015-01-10,6.11
2015-01-11,0.42
2015-01-12,1.64
2015-01-13,2.03
2015-01-14,2.47
2015-01-15,-0.21
2015-01-16,0.11
2015-01-17,0.47
2015-01-18,0.19
2015-01-19,-1.48
2015-01-20,-1.79
2015-01-21,-1.64
2015-01-22,0.9
2015-01-23,-1.11
2015-01-24,-3.28
2015-01-25,-1.74
2015-01-26,-1.42
2015-01-27,-0.46
2015-01-28,-0.69
2015-01-29,-1.1
2015-01-30,-1.78
2015-01-31,-3.81
2015-02-01,-3.95
2015-02-02,-4.35
2015-02-03,-3.21
2015-02-04,-5.18
2015-02-05,-5.62
2015-02-06,-5.59
2015-02-07,-5.5
2015-02-08,-2.35
2015-02-09,-1.12
2015-02-10,0.94
2015-02-11,-0.11
2015-02-12,-1.61
2015-02-13,-1.85
2015-02-14,-1.61
2015-02-15,0.73
2015-02-16,-1.03
2015-02-17,-1.18
2015-02-18,-0.49
2015-02-19,-1.47
2015-02-20,-0.35
2015-02-21,0.05
2015-02-22,0.31
2015-02-23,0.51
