date,t2m_deg_c
2014-09-02,14.54
2014-09-03,15.62
2014-09-04,17.07
2014-09-05,17.49
2014-09-06,17.8
2014-09-07,17.89
2014-09-08,18.93
2014-09-09,17.62
2014-09-10,14.95
2014-09-11,13.91
2014-09-12,15.64
2014-09-13,15.79
2014-09-14,15.58
2014-09-15,17.08
2014-09-16,16.61
2014-09-17,15.93
2014-09-18,14.51
2014-09-19,15.25
2014-09-20,16.57
2014-09-21,16.42
2014-09-22,11.56
2014-09-23,7.97
2014-09-24,8.67
2014-09-25,9.8
2014-09-26,10.32
2014-09-27,12.43
2014-09-28,11.15
2014-09-29,11.73
2014-09-30,13.23
2014-10-01,13.43
2014-10-02,12.09
2014-10-03,10.75
2014-10-04,9.99
2014-10-05,11.06
2014-10-06,10.63
2014-10-07,10.79
2014-10-08,12.36
2014-10-09,14.39
2014-10-10,13.77
2014-10-11,13.38
2014-10-12,14.41
2014-10-13,14.57
2014-10-14,13.89
2014-10-15,12.09
2014-10-16,12.61
2014-10-17,11.31
2014-10-18,11.0
2014-10-19,11.06
2014-10-20,12.55
2014-10-21,10.78
2014-10-22,6.39
2014-10-23,4.55
2014-10-24,2.28
2014-10-25,3.42
2014-10-26,4.11
2014-10-27,3.21
2014-10-28,2.11
2014-10-29,2.15
2014-10-30,3.45
2014-10-31,5.55
2014-11-01,5.22
2014-11-02,4.77
2014-11-03,5.49
2014-11-04,9.22
2014-11-05,11.51
2014-11-06,11.32
2014-11-07,11.21
2014-11-08,7.7
2014-11-09,9.32
2014-11-10,10.9
2014-11-11,10.61
2014-11-12,9.59
2014-11-13,8.35
2014-11-14,7.68
2014-11-15,9.19
2014-11-16,6.74
2014-11-17,6.46
2014-11-18,6.1
2014-11-19,4.91
2014-11-20,3.38
2014-11-21,1.59
2014-11-22,1.13
2014-11-23,1.56
2014-11-24,0.58
2014-11-25,0.67
2014-11-26,-0.53
2014-11-27,-0.94
2014-11-28,-0.86
2014-11-29,-1.18
2014-11-30,-1.32
2014-12-01,-1.9
2014-12-02,-2.15
2014-12-03,-0.54
2014-12-04,-0.03
2014-12-05,0.94
2014-12-06,1.27
2014-12-07,0.36
2014-12-08,-0.95
2014-12-09,-1.85
2014-12-10,-3.36
2014-12-11,-0.77
2014-12-12,0.77
2014-12-13,-0.21
2014-12-14,0.78
2014-12-15,1.96
2014-12-16,2.5
2014-12-17,0.76
2014-12-18,3.1
2014-12-19,7.79
2014-12-20,3.08
2014-12-21,1.67
2014-12-22,3.24
2014-12-23,5.7
2014-12-24,3.24
2014-12-25,2.17
2014-12-26,-2.89
2014-12-27,-5.2
2014-12-28,-7.09
2014-12-29,-6.63
2014-12-30,-7.44
2014-12-31,-7.98
2015-01-01,-2.04
2015-01-02,-0.32
2015-01-03,-0.46
2015-01-04,-0.57
2015-01-05,-1.81
2015-01-06,-6.42
2015-01-07,-8.85
2015-01-08,-6.63
2015-01-09,1.22
2015-01-10,4.91
2015-01-11,-0.31
2015-01-12,0.91
2015-01-13,0.21
2015-01-14,0.37
2015-01-15,0.19
2015-01-16,2.77
2015-01-17,2.89
2015-01-18,-0.59
2015-01-19,-0.69
2015-01-20,0.08
2015-01-21,0.1
2015-01-22,1.29
2015-01-23,0.36
2015-01-24,-1.73
2015-01-25,-2.16
2015-01-26,-3.55
2015-01-27,-2.85
2015-01-28,-1.87
2015-01-29,-2.03
2015-01-30,-1.19
