scenario_id,model,mask_type,mask_seed,stations,variables,protocol,horizon_bin,horizon_order,minimum_horizon_days,maximum_horizon_days,hidden_cells,MAE,RMSE,climatology_MAE,skill
PNT-B1-T-SYNC-P30-test-R0115,causal_gru,point,115,B1,T,online_causal,1,1,1,1,231,0.8905311425526937,1.0909208337241743,0.7902597488262952,-0.12688409586256033
PNT-B1-T-SYNC-P30-test-R0115,causal_gru,point,115,B1,T,online_causal,2-3,2,2,3,87,0.871904740388366,1.0493514466906884,0.7603448423846014,-0.1467227654939951
PNT-B1-T-SYNC-P30-test-R0115,causal_gru,point,115,B1,T,online_causal,4-7,3,4,5,11,0.7051103656942194,0.8539339251957172,0.5318181623112072,-0.3258485995098561
PNT-B1-T-SYNC-P30-test-R0116,climatology,point,116,B1,T,online_causal,1,1,1,1,237,0.7985231976971847,1.0433888635846018,0.7985231976971847,0.0
PNT-B1-T-SYNC-P30-test-R0116,climatology,point,116,B1,T,online_causal,2-3,2,2,3,82,0.8298780380225763,1.107113902265007,0.8298780380225763,0.0
PNT-B1-T-SYNC-P30-test-R0116,climatology,point,116,B1,T,online_causal,4-7,3,4,7,10,0.889999794960022,1.126498746086556,0.889999794960022,0.0
PNT-B1-T-SYNC-P30-test-R0116,persistence,point,116,B1,T,online_causal,1,1,1,1,237,0.2400844132346946,0.33089830490525024,0.7985231976971847,0.6993394632403163
PNT-B1-T-SYNC-P30-test-R0116,persistence,point,116,B1,T,online_causal,2-3,2,2,3,82,0.41829276957163,0.6504220601399554,0.8298780380225763,0.4959587428433061
PNT-B1-T-SYNC-P30-test-R0116,persistence,point,116,B1,T,online_causal,4-7,3,4,7,10,1.1799999952316285,1.5159156542642966,0.889999794960022,-0.325842996721851
PNT-B1-T-SYNC-P30-test-R0116,causal_gru,point,116,B1,T,online_causal,1,1,1,1,237,0.9196609585597042,1.136988027610046,0.7985231976971847,-0.15170224385698705
PNT-B1-T-SYNC-P30-test-R0116,causal_gru,point,116,B1,T,online_causal,2-3,2,2,3,82,0.7701151792596026,1.0125276461013915,0.8298780380225763,0.07201402618796371
PNT-B1-T-SYNC-P30-test-R0116,causal_gru,point,116,B1,T,online_causal,4-7,3,4,7,10,1.1611369848251343,1.3612502920605185,0.889999794960022,-0.3046485981238811
PNT-B1-T-SYNC-P30-test-R0117,climatology,point,117,B1,T,online_causal,1,1,1,1,241,0.7815352589262966,1.0119975376838843,0.7815352589262966,0.0
