request_ordinal,target_station_id,direction,distance_km,endpoint,cache_path
103,01596500,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01596500/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01596500_DM_200.json
104,01597500,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01597500/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01597500_UM_200.json
105,01597500,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01597500/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01597500_DM_200.json
106,01646000,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01646000/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01646000_UM_200.json
107,01646000,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01646000/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01646000_DM_200.json
108,01646305,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01646305/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01646305_UM_200.json
109,01646305,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01646305/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01646305_DM_200.json
110,01646500,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01646500/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01646500_UM_200.json
111,01646500,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01646500/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01646500_DM_200.json
112,01649190,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01649190/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01649190_UM_200.json
113,01649190,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01649190/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01649190_DM_200.json
114,01649500,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01649500/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01649500_UM_200.json
115,01649500,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01649500/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01649500_DM_200.json
116,01654500,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01654500/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01654500_UM_200.json
117,01654500,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01654500/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01654500_DM_200.json
118,01656903,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01656903/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01656903_UM_200.json
119,01656903,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-01656903/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/01656903_DM_200.json
120,02011400,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-02011400/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/02011400_UM_200.json
121,02011400,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-02011400/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/02011400_DM_200.json
122,02011460,UM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-02011460/navigation/UM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/02011460_UM_200.json
123,02011460,DM,200,https://api.water.usgs.gov/nldi/linked-data/nwissite/USGS-02011460/navigation/DM/nwissite?distance=200,results/framework/public_catalog/nldi_cache/02011460_DM_200.json
