station_id,donors,gap_length,average_boundary_distance_days,effective_acf_lag_days,seasonal_variance_fraction,anomaly_sd_degC,R2_donor,rho,donor_component,memory_component,R2_avail,predicted_skill,calibration,post_hoc_state_control
B1,"S2,P3",60,15.0,15.0,0.987426315365279,0.5792650042989645,0.5794588934361571,0.05429801235479854,0.5794588934361571,0.0012398704716786158,0.5806987639078357,0.3524652626366951,bridge_2016_2017,True
B1,"S2,P3",90,22.5,22.5,0.987426315365279,0.5792650042989645,0.5794588934361571,0.02219622249057036,0.5794588934361571,0.0002071889512088638,0.5796660823873659,0.3516683583129433,bridge_2016_2017,True
B1,"S2,P3",120,30.0,30.0,0.987426315365279,0.5792650042989645,0.5794588934361571,-0.1289421536920576,0.5794588934361571,0.006991949659950599,0.5864508430961077,0.3569221222092208,bridge_2016_2017,True
B1,"S2,P3",150,37.5,37.5,0.987426315365279,0.5792650042989645,0.5794588934361571,-0.22007958560892765,0.5794588934361571,0.020368918590162134,0.5998278120263192,0.36740835606713806,bridge_2016_2017,True
B1,"S2,P3",180,45.0,45.0,0.987426315365279,0.5792650042989645,0.5794588934361571,-0.17367954261613117,0.5794588934361571,0.012685447333946451,0.5921443407701036,0.3613642202085007,bridge_2016_2017,True
B1,"S2,P3",240,60.0,60.0,0.987426315365279,0.5792650042989645,0.5794588934361571,0.22077143437444918,0.5794588934361571,0.020497184567133765,0.5999560780032909,0.36750974553222626,bridge_2016_2017,True
B1,"S2,P3",365,91.25,91.25,0.987426315365279,0.5792650042989645,0.5794588934361571,-0.022129173214155452,0.5794588934361571,0.0002059391090501904,0.5796648325452073,0.35166739442259054,bridge_2016_2017,True
S2,"B1,P3",1,0.25,1.0,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.9246317645140131,0.5762100608364376,0.36231662334734777,0.9385266841837854,0.7520618709915423,bridge_2016_2017,True
S2,"B1,P3",3,0.75,1.0,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.9246317645140131,0.5762100608364376,0.36231662334734777,0.9385266841837854,0.7520618709915423,bridge_2016_2017,True
S2,"B1,P3",7,1.75,1.75,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.8518185676117175,0.5762100608364376,0.3074998067165511,0.8837098675529886,0.6589866095781408,bridge_2016_2017,True
S2,"B1,P3",10,2.5,2.5,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.7777638721088697,0.5762100608364376,0.25635758638576706,0.8325676472222046,0.5908150139878108,bridge_2016_2017,True
S2,"B1,P3",14,3.5,3.5,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.6829321994567858,0.5762100608364376,0.19765409734367412,0.7738641581801117,0.5244625757946191,bridge_2016_2017,True
S2,"B1,P3",21,5.25,5.25,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.5382523796986846,0.5762100608364376,0.12277856677619062,0.6989886276126281,0.45135496686165844,bridge_2016_2017,True
S2,"B1,P3",30,7.5,7.5,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.3908115802476401,0.5762100608364376,0.06472700172546149,0.6409370625618991,0.4007813942824364,bridge_2016_2017,True
S2,"B1,P3",45,11.25,11.25,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.14617265420667128,0.5762100608364376,0.009054884357962662,0.5852649451944002,0.35600073384700215,bridge_2016_2017,True
S2,"B1,P3",60,15.0,15.0,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.10356108985549754,0.5762100608364376,0.004545104435468376,0.580755165271906,0.3525088149417831,bridge_2016_2017,True
S2,"B1,P3",90,22.5,22.5,0.9885935722246432,0.46918028196664585,0.5762100608364376,0.009906294900580363,0.5762100608364376,4.1588489497997876e-05,0.5762516493259355,0.34904043852627487,bridge_2016_2017,True
