analysis,station_id,gap_length,best_model,mean_skill,skill_ci_lower,skill_ci_upper,mean_MAE_degC,mean_climatology_MAE_degC,n_anchors,n_anchor_year_units,R2_donor,rho,predicted_skill,calibration,best_exceeds_budget,best_lower_ci_exceeds_budget,prediction_error
original_training_climatology,S2,180.0,xgboost,0.2168298614143827,0.1409913597933781,0.3201364937645162,0.51172773109542,0.6510416666666667,20,20,0.4698037657024676,0.14209466654117017,0.27924269119621536,frozen_2006_2015,False,False,-0.06241282978183266
original_training_climatology,S2,240.0,xgboost,0.2323082303381301,0.1577302891856652,0.3093528513741487,0.5176984583338102,0.671864584883054,20,20,0.4698037657024676,0.057461852758590934,0.2730573625370646,frozen_2006_2015,False,False,-0.040749132198934473
original_training_climatology,S2,365.0,xgboost,0.2555166286426978,0.1813365755059163,0.3171225347882757,0.5144223013316116,0.6866986261002005,20,20,0.4698037657024676,0.07069971413942155,0.2736763289323343,frozen_2006_2015,False,False,-0.018159700289636482
bridge_2016_2017_climatology,B1,1.0,pchip,0.6900833420780419,0.49191421967825716,0.8395344850571468,0.11830299904434267,0.7699999284744263,20,20,0.5794588934361571,0.9061013952215422,0.7256488431646054,bridge_2016_2017,False,False,-0.035565501086563533
bridge_2016_2017_climatology,B1,3.0,pchip,0.6399924186926957,0.4888956288051487,0.7683456699521592,0.161438101057993,0.7608332991600035,20,20,0.5794588934361571,0.9061013952215422,0.7256488431646054,bridge_2016_2017,False,False,-0.08565642447190969
bridge_2016_2017_climatology,B1,7.0,random_forest,0.3083923633805878,0.10181967924928735,0.4863886419838734,0.44152494004166165,0.7635714183534894,20,20,0.5794588934361571,0.8186837053018176,0.6276072372415022,bridge_2016_2017,False,False,-0.31921487386091446
bridge_2016_2017_climatology,B1,10.0,random_forest,0.33558229701001263,0.13494426613898955,0.4857179018670277,0.4306379535283436,0.771500007867813,20,20,0.5794588934361571,0.73396181677157,0.5595506452215451,bridge_2016_2017,False,False,-0.22396834821153244
bridge_2016_2017_climatology,B1,14.0,pchip,0.37908198857756314,0.23373042721487491,0.5133141992782078,0.3906544315357793,0.7755356996400016,20,20,0.5794588934361571,0.6197426725004435,0.49106064587723497,bridge_2016_2017,False,False,-0.11197865729967182
bridge_2016_2017_climatology,B1,21.0,random_forest,0.3500799146483546,0.234707235811561,0.45898137781605114,0.46485729413327903,0.7915476075808207,20,20,0.5794588934361571,0.44967813061161943,0.42077352245038935,bridge_2016_2017,False,False,-0.07069360780203476
bridge_2016_2017_climatology,B1,30.0,random_forest,0.3579135779670117,0.23882333248127324,0.4622089279678977,0.4724939308131605,0.8139999926884969,20,20,0.5794588934361571,0.2911816884600817,0.37960916988456983,bridge_2016_2017,False,False,-0.021695591917558155
