network_id,target_station,donor_station,gap_length,realized_mae,n_placements
huc8_03070103,02205865,02207135,90,2.417087770877912,20
huc8_03070103,02205865,02207160,90,2.464207648939521,20
huc8_03070103,02205865,02207185,90,1.6348031886062722,20
huc8_03070103,02205865,02207385,90,1.6933455813226128,20
huc8_03070103,02205865,02207400,90,1.7309886538169863,20
huc8_03070103,02205865,02208150,90,1.7141911936632632,20
huc8_03070103,02205865,02208450,90,2.4489654455864476,20
huc8_03070103,02205865,02208493,90,2.4539657860481325,20
huc8_03070103,02207120,02203603,90,2.0814177504245963,20
huc8_03070103,02207120,02203655,90,1.935403723980831,20
huc8_03070103,02207120,02203831,90,2.1674104215616525,20
huc8_03070103,02207120,02203863,90,2.1627437920838686,20
huc8_03070103,02207120,02203873,90,2.1571883159470024,20
huc8_03070103,02207120,02203900,90,2.164763341480267,20
huc8_03070103,02207120,02203950,90,2.1612705244331716,20
huc8_03070103,02207120,02203960,90,2.1646603087793004,20
huc8_03070103,02207120,02204037,90,2.1605741339272955,20
huc8_03070103,02207120,02205865,90,2.1434119029889946,20
huc8_03070103,02207120,02207135,90,2.160837063480955,20
huc8_03070103,02207120,02207160,90,2.1945435664474813,20
huc8_03070103,02207120,02207185,90,1.508950099566325,20
huc8_03070103,02207120,02207385,90,1.5915604610883733,20
huc8_03070103,02207120,02207400,90,1.4267012291742232,20
huc8_03070103,02207120,02208150,90,1.6832957703024807,20
huc8_03070103,02207120,02208450,90,2.1680349250872446,20
huc8_03070103,02207120,02208493,90,2.181073036118087,20
huc8_03070103,02207135,02203603,90,1.6531781169521793,20
huc8_03070103,02207135,02203655,90,1.6897414069863597,20
huc8_03070103,02207135,02203831,90,1.0036474314012631,20
huc8_03070103,02207135,02203863,90,1.2477296892286855,20
huc8_03070103,02207135,02203873,90,1.291145129634733,20
huc8_03070103,02207135,02203900,90,1.7748478303790733,20
huc8_03070103,02207135,02203950,90,0.9802103534584166,20
huc8_03070103,02207135,02203960,90,1.819944370192815,20
huc8_03070103,02207135,02204037,90,1.5211006326868521,20
huc8_03070103,02207135,02205865,90,0.5534119563832052,20
huc8_03070103,02207135,02207120,90,1.7366010301531811,20
huc8_03070103,02207135,02207160,90,2.3746351779411894,20
