risk_model,moderator,term,estimate,std_error,p_value,ci_lower,ci_upper
fitting_period_empirical,regulation_stratum,C(regulation_stratum)[T.unmatched_gages],-0.1506168800002531,0.14805777443788054,0.309018104923516,-0.440810117898499,0.13957635789799275
fitting_period_empirical,regulation_stratum,C(regulation_stratum)[T.unregulated],-0.05092097313394569,0.12602571317752767,0.6861742962123485,-0.2979313709618999,0.19608942469400853
fitting_period_empirical,regulation_stratum,C(phase)[T.first],-0.08758455289589052,0.12121199657464388,0.46994207416479183,-0.3251600661821925,0.1499909603904115
fitting_period_empirical,regulation_stratum,C(phase)[T.second],0.03420784120218254,0.11168176760088216,0.7593781766662925,-0.1846884232955465,0.2531041056999116
fitting_period_empirical,regulation_stratum,predicted_loss,0.8874498929254251,0.0542058495528786,3.038493857855639e-60,0.7812064278017831,0.9936933580490671
fitting_period_empirical,regulation_stratum,predicted_loss:C(regulation_stratum)[T.unmatched_gages],0.1512815026087391,0.09997584950990368,0.130233824530911,-0.04467116243067212,0.3472341676481503
fitting_period_empirical,regulation_stratum,predicted_loss:C(regulation_stratum)[T.unregulated],-0.1466725204833909,0.09395868444913218,0.11851618224898217,-0.33083154200368997,0.03748650103690815
fitting_period_empirical,regulation_stratum,predicted_loss:C(phase)[T.first],0.0032634045056154108,0.08575615119517838,0.9696442561782422,-0.1648186518369342,0.17134546084816502
fitting_period_empirical,regulation_stratum,predicted_loss:C(phase)[T.second],-0.02044705255955503,0.07474892710429865,0.7844357731504883,-0.1669549496839804,0.12606084456487032
fitting_period_empirical,regulation_stratum,Group Var,0.029755069296212286,0.021032466587755125,0.1571503546790626,-0.011468565215787763,0.07097870380821233
fitting_period_empirical,regulation_stratum,Group x predicted_loss Cov,0.002974058283067149,0.009942022463337441,0.764833098026884,-0.016512305745074236,0.022460422311208532
fitting_period_empirical,regulation_stratum,predicted_loss Var,0.0064152537609371936,0.007401485735010248,0.38607781848187894,-0.008091658279682893,0.02092216580155728
