network_id,station_id,gap_length,season_plurality,observed_recovery_loss,dur_season,simple,empirical,surface,support_status,horizon_group
chmi_botic,0-203-1-200550,14.0,DJF,0.4649845380516526,0.4708851932070064,0.6957469605450528,1.1904294749569722,0.6772632703449525,interpolated,fallback
chmi_botic,0-203-1-200550,30.0,MAM,0.6190633408688359,0.9407456021579343,0.8567052729901181,0.5814509675140005,0.766127337410691,direct,direct
chmi_botic,0-203-1-200550,60.0,DJF,0.8329190112358018,0.9509801317370232,1.0693009589271036,1.1904294749569722,0.955719696199874,interpolated,fallback
chmi_botic,0-203-1-200550,90.0,MAM,1.105607004413066,1.4020199584317707,1.3235136222678745,1.0600901316053073,1.2532996270605945,direct,direct
chmi_botic,0-203-1-200550,180.0,DJF,2.5778846008507648,1.414687020145989,2.2228458449185147,2.4607161074011,2.183831171259185,direct,direct
chmi_botic,0-203-1-200550,365.0,DJF,5.012806447790972,1.7698273859548541,4.291850867691011,1.1904294749569722,2.326701588977593,extrapolated,fallback
chmi_botic,0-203-1-200580,7.0,DJF,0.3759951528291853,0.2857295721324808,0.5420252629212474,0.4319990755172015,0.4316909106072573,direct,direct
chmi_botic,0-203-1-200580,14.0,DJF,0.4621319370614486,0.4708851932070064,0.6940598328762326,1.1904294749569722,0.5742903750502265,interpolated,fallback
chmi_botic,0-203-1-200580,30.0,MAM,0.5722881856153246,0.9407456021579343,0.8296403443388654,0.6782675854919376,0.6581284623697877,direct,direct
chmi_botic,0-203-1-200580,60.0,DJF,0.7055034569175231,0.9509801317370232,1.034078633025595,1.1904294749569722,0.834571852259019,interpolated,fallback
chmi_botic,0-203-1-200580,90.0,MAM,1.013218315461374,1.4020199584317707,1.2916854802424564,1.0730701034574748,1.1124169697738129,direct,direct
chmi_botic,0-203-1-200580,180.0,DJF,2.182080662258174,1.414687020145989,2.195529715354907,2.4163037597816017,1.9840213166895837,direct,direct
chmi_botic,0-203-1-200580,365.0,DJF,4.318259127335614,1.7698273859548541,4.269518503253368,1.1904294749569722,2.1243429220416683,extrapolated,fallback
chmi_botic,0-203-1-200590,7.0,DJF,0.470365330983722,0.2857295721324808,0.2869852120481917,0.3933535111925608,0.557270945796425,direct,direct
chmi_botic,0-203-1-200590,14.0,DJF,0.5164233493245496,0.4708851932070064,0.6556519121069682,1.1904294749569722,0.7121911987424814,interpolated,fallback
chmi_botic,0-203-1-200590,30.0,MAM,0.6777020873605418,0.9407456021579343,1.0743775414520065,0.7482534186682402,0.8023710741824318,direct,direct
chmi_botic,0-203-1-200590,60.0,DJF,1.0853576872770492,0.9509801317370232,1.485614215537734,1.1904294749569722,0.9933053547658708,interpolated,fallback
chmi_botic,0-203-1-200590,90.0,MAM,1.5264263737072283,1.4020199584317707,1.8008219674884105,1.416805877302625,1.299799341172052,direct,direct
chmi_botic,0-203-1-200590,180.0,DJF,3.654472040277864,1.414687020145989,2.69874886836304,3.175164433263584,2.255223884861965,direct,direct
chmi_botic,0-203-1-200590,365.0,DJF,6.984301511937825,1.7698273859548541,4.805068836067498,1.1904294749569722,2.395531912311698,extrapolated,fallback
chmi_botic,0-203-1-200600,7.0,DJF,0.4439044183019607,0.2857295721324808,0.5843266936867548,0.3944419102103895,0.4850854302155446,direct,direct
chmi_botic,0-203-1-200600,14.0,DJF,0.5356875637628195,0.4708851932070064,0.6879429275076916,1.1904294749569722,0.63265270106307,interpolated,fallback
chmi_botic,0-203-1-200600,30.0,MAM,0.6414860138588827,0.9407456021579343,0.7670535434766859,0.6511933975433516,0.7188238216714656,direct,direct
chmi_botic,0-203-1-200600,60.0,DJF,0.8464627195131683,0.9509801317370232,0.9456938717036184,1.1904294749569722,0.901233763574895,interpolated,fallback
chmi_botic,0-203-1-200600,90.0,MAM,1.095400171289444,1.4020199584317707,1.1959656867541004,1.051607971233369,1.1909264559375634,direct,direct
chmi_botic,0-203-1-200600,180.0,DJF,2.2339520999500837,1.414687020145989,2.1081000480462686,2.2340900696202133,2.1004975711208265,direct,direct
chmi_botic,0-203-1-200600,365.0,DJF,4.326125979488324,1.7698273859548541,4.197368117889731,1.1904294749569722,2.2356159570074308,extrapolated,fallback
chmi_dyje,0-203-1-430000,7.0,DJF,0.6758476422859769,0.2857295721324808,0.462739688872372,0.5924146902707612,0.7139016581977521,direct,direct
chmi_dyje,0-203-1-430000,14.0,DJF,0.8048008735573736,0.4708851932070064,0.7616480582504139,1.4953121802614178,0.8851044721621941,interpolated,fallback
chmi_dyje,0-203-1-430000,30.0,DJF,1.1775486229240304,0.7053899662610769,1.053683225055318,0.9709041200085324,0.981993843483789,direct,direct
chmi_dyje,0-203-1-430000,60.0,MAM,1.4674769184958285,1.2202289127262784,1.2986023781777547,1.4953121802614178,1.1793908688462051,interpolated,fallback
chmi_dyje,0-203-1-430000,90.0,DJF,1.913524358070636,1.1107252446243259,1.5330849411865863,1.8334800968583096,1.516097240542126,direct,direct
chmi_dyje,0-203-1-430000,180.0,DJF,4.071418700280327,1.414687020145989,2.4131709210415737,4.189781954522594,2.503795127938793,direct,direct
