station_id,n_approved_days,n_qualifying_years,first_date,last_date,median_annual_amplitude_degC,anomaly_sd_degC,acf30,acf90,n_exact_pairs_30d,n_exact_pairs_90d,seasonal_variance_fraction,observed_temperature_range_degC,memory_range_index_per_degC,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STATE,CLASS,AGGECOREGION,NDAMS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,RAW_DIS_NEAREST_DAM,RAW_DIS_NEAREST_MAJ_DAM,upstream_major_dam_2009
02458450,7239,20,2000-01-01,2019-12-31,23.35,2.0619134926873923,0.08493869540077804,0.06135728991128014,7149,7091,0.889439625862484,26.900000000000002,0.0031575723197315255,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",85.9,33.517606,-86.879158,AL,Non-ref,EastHghlnds,2.0,2.15,1.72,0.0,1.9,,0
03012550,4461,12,2007-09-30,2019-12-31,21.200000000000003,1.1396828532756118,0.23934322663310012,0.10577734745366942,4416,4356,0.9759244634363764,22.5,0.010637476739248895,"Allegheny River at Kinzua Dam, PA",5640.1,41.841449,-79.011985,PA,Non-ref,NorthEast,29.0,293.39,129.32,7.0,0.8,0.8,1
03020000,4352,12,2007-10-01,2019-12-31,24.0,1.7227602736290093,0.20006998076244095,0.19198586220871067,4231,4180,0.9573591849820702,27.700000000000003,0.007222742987813752,"Tionesta Creek at Tionesta Creek Dam, PA",1237.4,41.478951,-79.44588,PA,Non-ref,NorthEast,2.0,181.0,8.06,1.0,0.4,0.4,1
03022554,4412,12,2007-09-30,2019-12-31,22.800000000000004,1.5022121626068894,0.18958322363554594,0.17241311730042208,4344,4258,0.9647815435076131,26.400000000000002,0.007181182713467649,"Woodcock Creek at Woodcock Creek Dam, PA",118.3,41.69589,-80.10811,PA,Non-ref,NorthEast,2.0,339.07,53.25,1.0,0.6,0.6,1
03027500,4241,11,2007-10-01,2019-12-31,14.9,1.413116219815566,0.27409748417115437,-0.1650181963043415,4110,3993,0.9176127280783879,17.5,0.01566271338120882,"EB Clarion River at EB Clarion River Dam, PA",187.9,41.553118,-78.596135,PA,Non-ref,NorthEast,2.0,676.25,422.29,1.0,0.8,0.8,1
03036000,3898,10,2008-10-01,2019-12-31,23.6,1.7047869549920265,0.10573334395808891,0.12182895068886285,3742,3628,0.9535299099257197,26.099999999999998,0.004051085975405705,"Mahoning Creek at Mahoning Creek Dam, PA",890.8,40.927565,-79.291151,PA,Non-ref,EastHghlnds,5.0,133.25,15.04,1.0,1.3,1.3,1
03039000,3891,10,2008-12-19,2019-12-31,23.85,1.6448562602373622,0.1464725821442231,0.12388546573111316,3766,3664,0.9586759641770036,26.9,0.00544507740313097,"Crooked Creek at Crooked Creek Dam, PA",720.6,40.720342,-79.511433,PA,Non-ref,EastHghlnds,7.0,300.8,54.74,2.0,0.8,0.8,1
03047000,4278,11,2007-08-03,2019-12-31,25.799999999999997,1.991606735040545,0.1742595642165585,0.08749039425207256,4079,3937,0.9411700753649473,27.4,0.006359838110093376,"Loyalhanna Creek at Loyalhanna Dam, PA",752.0,40.458889,-79.449444,PA,Non-ref,EastHghlnds,16.0,17.25,10.14,1.0,4.2,26.5,1
03057000,3848,10,2008-09-30,2019-12-31,25.9,1.6838945136444765,0.1690420019711195,0.08909956992100823,3739,3694,0.9542835813646786,27.3,0.006192014724216831,"TYGART VALLEY RIVER AT COLFAX, WV",3514.2,39.435087,-80.132579,WV,Non-ref,EastHghlnds,18.0,129.6,37.25,5.0,3.2,16.1,1
03061000,4512,11,2005-09-08,2019-12-31,27.4,2.1560556945051492,0.1295199162472793,0.07720843734025933,4273,4026,0.9298784555046223,29.8,0.004346305914338231,"WEST FORK RIVER AT ENTERPRISE, WV",1985.2,39.422308,-80.275919,WV,Non-ref,EastHghlnds,41.0,116.25,49.22,9.0,5.1,9.2,1
03075070,3955,10,2008-10-02,2019-12-31,28.5,1.9052398468881928,0.24723554681217813,0.11612644684530807,3874,3755,0.9562556590106259,33.5,0.007380165576482929,"Monongahela River at Elizabeth, PA",13824.0,40.262292,-79.90116,PA,Non-ref,EastHghlnds,229.0,75.99,34.26,84.0,7.7,7.9,1
03077500,4322,11,2005-08-17,2019-12-31,17.900000000000002,1.3560568958480155,0.5802860702363059,0.33692341590435143,4031,3853,0.9461024565134238,21.099999999999998,0.02750170948987232,"Youghiogheny River at Youghiogheny River Dam, PA",1122.0,39.805355,-79.364202,PA,Non-ref,EastHghlnds,16.0,499.82,268.55,3.0,0.9,0.9,1
03081000,5507,15,2004-10-01,2019-12-31,18.6,1.2311075532027833,0.46545792538821884,0.0934370224955106,5416,5355,0.9551899883539812,21.799999999999997,0.02135128098111096,"Youghiogheny River below Confluence, PA",2659.9,39.827577,-79.372535,PA,Non-ref,EastHghlnds,41.0,220.52,117.51,4.0,3.3,3.3,1
03083500,4289,10,2005-06-02,2019-12-31,27.5,2.2223006134618,0.11335228240639779,0.07619576241863499,4060,3779,0.931981347974506,29.799999999999997,0.0038037678659865034,"Youghiogheny River at Sutersville, PA",4429.5,40.24007,-79.806434,PA,Non-ref,EastHghlnds,62.0,174.49,72.77,12.0,6.7,6.7,1
