network_id,station_id,gap_length,prediction,observed,n_placements,sources,tier,all_placements_same_tier,panel,observed_recovery_loss,effective_support,distance_to_nearest_supported_cell
chmi_botic,0-203-1-200600,30,0.6511933975433516,0.6414860138588827,20,station_gap_season,station_gap_season,True,second,0.6414860138588827,20.0,0.0
chmi_botic,0-203-1-200600,60,1.1904294749569722,0.8464627195131683,20,network_mean_fallback,network_mean_fallback,True,second,0.8464627195131683,1600.0,30.0
chmi_botic,0-203-1-200600,90,1.051607971233369,1.0954001712894441,20,station_gap_season,station_gap_season,True,second,1.095400171289444,20.0,0.0
chmi_botic,0-203-1-200600,180,2.2340900696202133,2.2339520999500833,20,station_gap_season,station_gap_season,True,second,2.2339520999500837,20.0,0.0
chmi_botic,0-203-1-200600,365,1.1904294749569722,4.326125979488324,20,network_mean_fallback,network_mean_fallback,True,second,4.326125979488324,1600.0,185.0
chmi_dyje,0-203-1-430000,7,0.5924146902707612,0.6758476422859769,20,station_gap_season,station_gap_season,True,second,0.6758476422859769,20.0,0.0
chmi_dyje,0-203-1-430000,14,1.4953121802614178,0.8048008735573736,20,network_mean_fallback,network_mean_fallback,True,second,0.8048008735573736,1280.0,7.0
chmi_dyje,0-203-1-430000,30,0.9709041200085325,1.1775486229240302,20,station_gap_season,station_gap_season,True,second,1.1775486229240304,20.0,0.0
chmi_dyje,0-203-1-430000,60,1.4953121802614178,1.4674769184958285,20,network_mean_fallback,network_mean_fallback,True,second,1.4674769184958285,1280.0,30.0
chmi_dyje,0-203-1-430000,90,1.8334800968583096,1.9135243580706358,20,station_gap_season,station_gap_season,True,second,1.913524358070636,20.0,0.0
chmi_dyje,0-203-1-430000,180,4.189781954522594,4.071418700280327,20,station_gap_season,station_gap_season,True,second,4.071418700280327,20.0,0.0
chmi_dyje,0-203-1-430000,365,1.4953121802614178,7.938042476220227,20,network_mean_fallback,network_mean_fallback,True,second,7.938042476220227,1280.0,185.0
chmi_dyje,0-203-1-434000,7,0.2520881423190372,0.28461185060426053,20,station_gap_season,station_gap_season,True,second,0.2846118506042606,20.0,0.0
chmi_dyje,0-203-1-434000,14,1.4953121802614178,0.3075041391045032,20,network_mean_fallback,network_mean_fallback,True,second,0.3075041391045032,1280.0,7.0
chmi_dyje,0-203-1-434000,30,0.3378605981523093,0.36850067958557525,20,station_gap_season,station_gap_season,True,second,0.3685006795855752,20.0,0.0
chmi_dyje,0-203-1-434000,60,1.4953121802614178,0.4223606837743218,20,network_mean_fallback,network_mean_fallback,True,second,0.4223606837743219,1280.0,30.0
chmi_dyje,0-203-1-434000,90,0.8645725917023354,0.8681238265207044,20,station_gap_season,station_gap_season,True,second,0.8681238265207044,20.0,0.0
