criterion,c,method,released_units,released_networks,unit_coverage,network_coverage,network_balanced_regret,pooled_regret,selection_accuracy,top2_hit,top2_hit_pen_t09,abstention_cost_units,abstention_cost_networks,note
b_mean_width,0.1,best_fixed,144,7,0.1,0.16666666666666666,0.028620928737157037,0.028896371466239308,0.6875,0.9930555555555556,,0.9,0.8333333333333334,
b_mean_width,0.1,global_cv,144,7,0.1,0.16666666666666666,0.028620928737157037,0.028896371466239308,0.6875,0.9930555555555556,,0.9,0.8333333333333334,
b_mean_width,0.1,per_net_cv,144,7,0.1,0.16666666666666666,0.02597851086994213,0.026516974344462697,0.6180555555555556,1.0,,0.9,0.8333333333333334,
b_mean_width,0.1,gap_rule,144,7,0.1,0.16666666666666666,0.05540907760296769,0.05526686638590071,0.3819444444444444,0.9930555555555556,,0.9,0.8333333333333334,
b_mean_width,0.1,random,144,7,0.1,0.16666666666666666,0.14560158921557642,0.1494897932202547,0.3270833333333333,0.6649305555555556,,0.9,0.8333333333333334,
b_mean_width,0.1,oracle,144,7,0.1,0.16666666666666666,0.0,0.0,1.0,1.0,,0.9,0.8333333333333334,
b_mean_width,0.2,proposed,288,13,0.2,0.30952380952380953,0.04032149547993037,0.044497832223034446,0.4618055555555556,0.9895833333333334,0.8993055555555556,0.8,0.6904761904761905,
b_mean_width,0.2,best_fixed,288,13,0.2,0.30952380952380953,0.024384053290037327,0.024288869694127205,0.6458333333333334,0.9895833333333334,,0.8,0.6904761904761905,
b_mean_width,0.2,global_cv,288,13,0.2,0.30952380952380953,0.024384053290037327,0.024288869694127205,0.6458333333333334,0.9895833333333334,,0.8,0.6904761904761905,
b_mean_width,0.2,per_net_cv,288,13,0.2,0.30952380952380953,0.01703383919505386,0.018211829253452574,0.6944444444444444,0.9930555555555556,,0.8,0.6904761904761905,
b_mean_width,0.2,gap_rule,288,13,0.2,0.30952380952380953,0.05534658826868784,0.05317750665559173,0.4027777777777778,0.9965277777777778,,0.8,0.6904761904761905,
b_mean_width,0.2,random,288,13,0.2,0.30952380952380953,0.18618535008614093,0.1960095402973891,0.32656250000000003,0.6644097222222223,,0.8,0.6904761904761905,
b_mean_width,0.2,oracle,288,13,0.2,0.30952380952380953,0.0,0.0,1.0,1.0,,0.8,0.6904761904761905,
b_mean_width,0.3,proposed,432,15,0.3,0.35714285714285715,0.044496243294076115,0.05043233548814768,0.5185185185185185,0.9861111111111112,0.9212962962962963,0.7,0.6428571428571428,
b_mean_width,0.3,best_fixed,432,15,0.3,0.35714285714285715,0.03759504733283823,0.06096859321550407,0.5277777777777778,0.9861111111111112,,0.7,0.6428571428571428,
b_mean_width,0.3,global_cv,432,15,0.3,0.35714285714285715,0.03759504733283823,0.06096859321550407,0.5277777777777778,0.9861111111111112,,0.7,0.6428571428571428,
b_mean_width,0.3,per_net_cv,432,15,0.3,0.35714285714285715,0.0193682281006514,0.018110086959750662,0.7013888888888888,0.9930555555555556,,0.7,0.6428571428571428,
b_mean_width,0.3,gap_rule,432,15,0.3,0.35714285714285715,0.057363885556392574,0.05841986347588714,0.47453703703703703,0.9907407407407407,,0.7,0.6428571428571428,
b_mean_width,0.3,random,432,15,0.3,0.35714285714285715,0.19037757087310284,0.20322470271043175,0.3244212962962963,0.6619212962962961,,0.7,0.6428571428571428,
b_mean_width,0.3,oracle,432,15,0.3,0.35714285714285715,0.0,0.0,1.0,1.0,,0.7,0.6428571428571428,
b_mean_width,0.4,proposed,576,20,0.4,0.47619047619047616,0.050515801229102576,0.05887485684142595,0.5086805555555556,0.9878472222222222,0.9097222222222222,0.6,0.5238095238095238,
b_mean_width,0.4,best_fixed,576,20,0.4,0.47619047619047616,0.049371339590288235,0.07755362002734535,0.53125,0.9878472222222222,,0.6,0.5238095238095238,
b_mean_width,0.4,global_cv,576,20,0.4,0.47619047619047616,0.049371339590288235,0.07755362002734535,0.53125,0.9878472222222222,,0.6,0.5238095238095238,
b_mean_width,0.4,per_net_cv,576,20,0.4,0.47619047619047616,0.020615079518412845,0.01962483329526426,0.7065972222222222,0.9913194444444444,,0.6,0.5238095238095238,
b_mean_width,0.4,gap_rule,576,20,0.4,0.47619047619047616,0.05865752869205798,0.06421707329324436,0.4739583333333333,0.9913194444444444,,0.6,0.5238095238095238,
b_mean_width,0.4,random,576,20,0.4,0.47619047619047616,0.18045330583923655,0.20263044798540344,0.32717013888888896,0.6625868055555555,,0.6,0.5238095238095238,
b_mean_width,0.4,oracle,576,20,0.4,0.47619047619047616,0.0,0.0,1.0,1.0,,0.6,0.5238095238095238,
b_mean_width,0.5,proposed,720,25,0.5,0.5952380952380952,0.07188802955025128,0.07721510245706327,0.49027777777777776,0.9777777777777777,0.8944444444444445,0.5,0.40476190476190477,
b_mean_width,0.5,best_fixed,720,25,0.5,0.5952380952380952,0.04617615485647567,0.07610906597265485,0.5430555555555555,0.9861111111111112,,0.5,0.40476190476190477,
