network_id,station_id,gap_length,season,placement,gap_start,model_family,mae_deg_c,seed
arso_kamniska_bistrica,4430,90,MAM,3,2021-04-11,neural_bilstm,0.5317584276199341,2
arso_kamniska_bistrica,4430,90,SON,4,2021-09-14,neural_bilstm,0.8084734678268433,2
arso_kamniska_bistrica,4445,7,DJF,0,2020-01-01,neural_bilstm,1.4148441553115845,2
arso_kamniska_bistrica,4445,7,JJA,1,2020-06-14,neural_bilstm,1.1207540035247805,2
arso_kamniska_bistrica,4445,7,SON,2,2020-11-27,neural_bilstm,0.5816205739974976,2
arso_kamniska_bistrica,4445,7,MAM,3,2021-05-12,neural_bilstm,1.0917969942092896,2
arso_kamniska_bistrica,4445,7,SON,4,2021-10-25,neural_bilstm,0.4587330222129822,2
arso_kamniska_bistrica,4445,30,DJF,0,2020-01-01,neural_bilstm,0.8479945063591003,2
arso_kamniska_bistrica,4445,30,JJA,1,2020-06-12,neural_bilstm,0.8209453821182251,2
arso_kamniska_bistrica,4445,30,SON,2,2020-11-22,neural_bilstm,0.639325737953186,2
arso_kamniska_bistrica,4445,30,MAM,3,2021-05-04,neural_bilstm,0.5920763611793518,2
arso_kamniska_bistrica,4445,30,SON,4,2021-10-14,neural_bilstm,0.3665097951889038,2
arso_kamniska_bistrica,4445,90,DJF,0,2020-01-01,neural_bilstm,0.7273722887039185,2
arso_kamniska_bistrica,4445,90,JJA,1,2020-06-04,neural_bilstm,0.8029777407646179,2
arso_kamniska_bistrica,4445,90,SON,2,2020-11-07,neural_bilstm,0.9822818040847778,2
arso_kamniska_bistrica,4445,90,MAM,3,2021-04-11,neural_bilstm,0.8180496096611023,2
arso_kamniska_bistrica,4445,90,SON,4,2021-09-14,neural_bilstm,0.5875580906867981,2
foen_aare_aaregebiet,2016,7,DJF,0,2013-01-01,neural_bilstm,2.18578577041626,0
foen_aare_aaregebiet,2016,7,JJA,1,2014-06-15,neural_bilstm,1.1312018632888794,0
foen_aare_aaregebiet,2016,7,SON,2,2015-11-28,neural_bilstm,1.5513242483139038,0
foen_aare_aaregebiet,2016,7,MAM,3,2017-05-12,neural_bilstm,0.8600409626960754,0
foen_aare_aaregebiet,2016,7,SON,4,2018-10-25,neural_bilstm,0.7213219404220581,0
foen_aare_aaregebiet,2016,30,DJF,0,2013-01-01,neural_bilstm,1.4711378812789917,0
foen_aare_aaregebiet,2016,30,JJA,1,2014-06-13,neural_bilstm,0.7319918870925903,0
foen_aare_aaregebiet,2016,30,SON,2,2015-11-23,neural_bilstm,0.95903342962265,0
foen_aare_aaregebiet,2016,30,MAM,3,2017-05-04,neural_bilstm,0.6658506989479065,0
foen_aare_aaregebiet,2016,30,SON,4,2018-10-14,neural_bilstm,0.3604448139667511,0
foen_aare_aaregebiet,2016,90,DJF,0,2013-01-01,neural_bilstm,1.2690593004226685,0
foen_aare_aaregebiet,2016,90,JJA,1,2014-06-05,neural_bilstm,0.7142136693000793,0
foen_aare_aaregebiet,2016,90,SON,2,2015-11-08,neural_bilstm,0.6829355359077454,0
foen_aare_aaregebiet,2016,90,MAM,3,2017-04-11,neural_bilstm,1.2465144395828247,0
foen_aare_aaregebiet,2016,90,SON,4,2018-09-14,neural_bilstm,0.6688519716262817,0
foen_aare_aaregebiet,2019,7,DJF,0,2013-01-01,neural_bilstm,2.347644090652466,0
foen_aare_aaregebiet,2019,7,JJA,1,2014-06-15,neural_bilstm,1.135831594467163,0
foen_aare_aaregebiet,2019,7,SON,2,2015-11-28,neural_bilstm,3.195504903793335,0
foen_aare_aaregebiet,2019,7,MAM,3,2017-05-12,neural_bilstm,0.4872871041297912,0
foen_aare_aaregebiet,2019,7,SON,4,2018-10-25,neural_bilstm,0.907023787498474,0
foen_aare_aaregebiet,2019,30,DJF,0,2013-01-01,neural_bilstm,3.115748405456543,0
foen_aare_aaregebiet,2019,30,JJA,1,2014-06-13,neural_bilstm,1.121488094329834,0
foen_aare_aaregebiet,2019,30,SON,2,2015-11-23,neural_bilstm,3.375554323196411,0
foen_aare_aaregebiet,2019,30,MAM,3,2017-05-04,neural_bilstm,0.9542001485824584,0
foen_aare_aaregebiet,2019,30,SON,4,2018-10-14,neural_bilstm,0.6397530436515808,0
foen_aare_aaregebiet,2019,90,DJF,0,2013-01-01,neural_bilstm,3.111650228500366,0
foen_aare_aaregebiet,2019,90,JJA,1,2014-06-05,neural_bilstm,1.4101670980453491,0
foen_aare_aaregebiet,2019,90,SON,2,2015-11-08,neural_bilstm,3.163675546646118,0
foen_aare_aaregebiet,2019,90,MAM,3,2017-04-11,neural_bilstm,1.565938949584961,0
foen_aare_aaregebiet,2019,90,SON,4,2018-09-14,neural_bilstm,1.41035795211792,0
